Rank     Team                            W-L-T    Rating
463        Western Carolina                0-2-0    13.9043
464        Tennessee St                    0-1-0    13.7587
465        North Alabama                   5-1-0    13.7408
466        The Citadel                     0-1-0    13.7155
467        Tennessee Tech                  3-3-0    13.6204
468        North Carolina St               0-4-0    13.5843
469        Shippensburg                    3-2-0    13.5579
470        Rhode Island                    2-1-0    13.5391
471        Hobart                          5-0-0    13.5185
472        Franklin & Marshall             5-0-0    13.497
473        Sacramento St                   2-3-0    13.4272
474        Tulane                          2-3-0    13.3109
475        Augsburg                        4-1-0    13.2772
476        North Carolina Central          3-1-0    13.2577
477        Weber St                        2-2-0    13.2519
478        Alfred                          6-1-0    13.2317
479        Tulsa                           1-5-0    13.1818
480        Mary Hardin-Baylor              9-1-0    13.1231
481        Concord                         1-0-0    13.0
482        Grand Valley St                 3-3-0    12.9816
483        Morgan St                       3-1-0    12.9544
484        Gustavus Adolphus               4-1-0    12.9212
485        St Ambrose                      5-0-0    12.8994
486        South Carolina St               4-1-0    12.8539
487        St Xavier                       4-1-0    12.8327
488        Virginia St                     5-0-0    12.8113
489        Morningside                     5-1-0    12.7784
490        Carson-Newman                   5-1-0    12.6809
491        Concordia-Moorhead              4-1-0    12.662
492        Illinois College                4-0-0    12.6287
493        Northern Michigan               3-2-0    12.6172
494        The Citadel                     3-3-0    12.5293
495        UTEP                            1-2-0    12.5027
496        Bucknell                        3-2-0    12.4887
497        Holy Cross                      0-1-0    12.4879
498        Nicholls St                     0-2-0    12.4489
499        Centre                          5-0-0    12.4378
500        Indiana PA                      4-1-0    12.4253
501        Eastern Michigan                2-2-0    12.4037
502        Wayne St MI                     3-2-0    12.3844
503        East Stroudsburg                4-2-0    12.3569
504        Minn St-Mankato                 5-1-0    12.3209
505        Southern Arkansas               4-1-0    12.2811
506        Virginia                        0-1-0    12.2648
507        Colgate                         4-2-0    12.2453
508        Ashland                         3-1-0    12.2264
509        West Virginia                   0-2-0    12.157
510        Hampden-Sydney                  5-1-0    11.9503
511        Albany St GA                    4-1-0    11.9349
512        Central Michigan                0-1-0    11.8591
513        Coe                             4-0-0    11.8307
514        Hillsdale                       2-3-0    11.8049
515        Carroll MT                      8-0-0    11.7986
516        Florida A&M                     0-1-0    11.7627
517        Wofford                         2-2-0    11.6588
518        Guilford                        3-1-0    11.5964
519        Northeastern St OK              2-3-0    11.5751
520        Missouri S&T                    4-1-0    11.5629
521        Arkansas                        0-1-0    11.5485
522        TAMU-Commerce                   4-1-0    11.4433
523        Wesley                          3-2-0    11.4182
524        Northern Colorado               0-1-0    11.4136
525        St John Fisher                  5-0-0    11.3153
526        Massachusetts                   1-4-0    11.3097
527        St Francis IN                   5-1-0    11.2838
528        Wesley                          7-0-0    11.259
529        Ferris St                       4-2-0    11.2183
530        Gannon                          3-2-0    11.0946
531        Central Washington              1-0-0    11.0
532        South Florida                   0-2-0    10.9955
533        Western Illinois                1-4-0    10.9853
