Rank     Team                            W-L-T    Schedule Factor
384        Gustavus Adolphus               0-1-0    23.8131
385        Charleston Southern             0-1-0    23.7983
386        Air Force                       4-3-0    23.7924
387        Princeton                       0-3-0    23.7845
388        Arkansas St                     6-1-0    23.7123
389        Florida Int'l                   0-1-0    23.6643
390        Western Illinois                0-3-0    23.6097
391        Rice                            4-1-0    23.5518
392        Southern Utah                   3-4-0    23.54
393        Wyoming                         4-3-0    23.5296
394        Kent St                         1-3-0    23.489
395        Yale                            0-1-0    23.4015
396        Lafayette                       0-1-0    23.4015
397        Towson                          0-1-0    23.3879
398        The Citadel                     2-3-0    23.332
399        Idaho St                        0-3-0    23.2074
400        Wofford                         4-3-0    23.12
401        Richmond                        0-1-0    23.0084
402        New Mexico                      0-1-0    22.9817
403        Savannah St                     0-3-0    22.9064
404        Truman St                       0-1-0    22.8939
405        Louisiana-Monroe                2-3-0    22.8549
406        Morgan St                       0-1-0    22.7573
407        Michigan Tech                   0-1-0    22.7407
408        Tiffin                          0-1-0    22.7407
409        Northern Michigan               0-1-0    22.7025
410        South Carolina St               0-1-0    22.6666
411        North Dakota St                 5-0-0    22.4666
412        Central Missouri                0-2-0    22.4395
413        Chattanooga                     3-2-0    22.3323
414        Appalachian St                  2-3-0    22.1921
415        Florida Int'l                   4-1-0    22.0326
416        Incarnate Word                  0-1-0    21.985
417        Angelo St                       0-1-0    21.985
418        TAMU-Commerce                   0-1-0    21.985
419        Akron                           1-3-0    21.9693
420        Northern Iowa                   6-0-0    21.8773
421        Old Dominion                    6-1-0    21.7608
422        Washburn                        5-2-0    21.7581
423        Wheaton                         0-1-0    21.5963
424        Montana                         3-3-0    21.5384
425        Minnesota-Crookston             0-2-0    21.503
426        Wisconsin                       7-0-0    21.4935
427        Campbellsville                  0-1-0    21.4433
428        Charleston Southern             0-4-0    21.3653
429        Northern St SD                  0-1-0    21.2476
430        Ohio Northern                   0-1-0    21.1704
431        Heidelberg                      0-1-0    21.1704
432        Capital                         0-1-0    21.1704
433        Dartmouth                       0-1-0    21.1064
434        Missouri St                     2-3-0    21.055
435        Portland St                     3-2-0    20.855
436        Chattanooga                     2-2-0    20.7409
437        Indiana St                      3-2-0    20.7058
438        Augustana IL                    0-2-0    20.6713
439        Massachusetts                   3-3-0    20.651
440        Fordham                         0-1-0    20.641
441        Temple                          5-2-0    20.5365
442        Northwestern St                 0-1-0    20.5235
443        Kentucky Wesleyan               0-2-0    20.4311
444        Sam Houston St                  10-0-0    20.2033
445        New Hampshire                   3-4-0    20.0329
446        Central Washington              0-1-0    19.9992
447        Southern Illinois               2-2-0    19.8887
448        Eastern Michigan                5-1-0    19.8783
449        Villanova                       2-3-0    19.7522
450        Rhode Island                    3-2-0    19.7395
451        Appalachian St                  6-1-0    19.6531
452        Idaho St                        0-3-0    19.6344
453        Miami OH                        3-2-0    19.5458
454        James Madison                   4-1-0    19.5411
455        Southern Miss                   6-0-0    19.5206
456        Louisiana-Lafayette             6-0-0    19.5205
457        Colgate                         0-1-0    19.3475
458        Edward Waters                   0-1-0    19.3131
459        New Haven                       0-1-0    19.3131
460        Langston                        0-2-0    19.0524
461        Florida Atlantic                1-2-0    19.0154
462        Delaware                        2-3-0    18.9998
463        Indiana St                      3-1-0    18.9888
464        Marist                          0-1-0    18.9403
465        Wayne St MI                     8-2-0    18.9054
466        Tulane                          1-3-0    18.9022
467        Northern Arizona                1-4-0    18.8397
468        Holy Cross                      2-2-0    18.8177
469        Truman St                       2-2-0    18.8159
470        Texas St-San Marcos             2-4-0    18.8108
471        Arkansas St                     4-1-0    18.7579
472        Brigham Young                   6-1-0    18.6677
473        Robert Morris PA                0-1-0    18.666
474        Weber St                        2-4-0    18.6451
475        Northern Michigan               0-1-0    18.5926
476        North Dakota St                 8-1-0    18.5547
477        Savannah St                     0-3-0    18.54
478        Montana                         8-0-0    18.4838
479        Quincy                          0-1-0    18.4606
480        Monmouth NJ                     0-1-0    18.4404
481        Northern Colorado               0-5-0    18.3737
482        Eastern Kentucky                4-3-0    18.2987
483        Furman                          3-2-0    18.2737
484        Missouri Southern               2-3-0    18.2126
485        Howard                          0-3-0    18.2022
486        Columbia                        1-5-0    18.0979
487        Dartmouth                       1-3-0    18.0889
488        Florida Int'l                   4-3-0    17.9929
489        Northwood                       1-3-0    17.9402
490        South Alabama                   1-3-0    17.9116
491        Pennsylvania                    2-1-0    17.854
492        Charleston Southern             0-4-0    17.8457
493        Illinois St                     5-1-0    17.8112
494        Gardner-Webb                    0-1-0    17.7719
495        Pacific Lutheran                0-1-0    17.7584
496        La Verne                        0-1-0    17.7584
497        Lincoln MO                      0-3-0    17.6845
498        Simon Fraser                    0-1-0    17.6079
499        Colorado Mesa                   0-1-0    17.6079
500        Villanova                       0-1-0    17.5891
501        Eastern Illinois                1-4-0    17.4795
502        St Thomas                       0-1-0    17.4234
503        Northern Colorado               0-5-0    17.2639
504        Georgia Southern                8-0-0    17.1649
505        Pittsburg St                    8-1-0    17.0804
506        Western Carolina                1-4-0    17.0451
507        Charleston Southern             0-2-0    16.9652
508        Nicholls St                     0-4-0    16.9483
509        Belhaven                        0-1-0    16.8405
510        Alabama-Birmingham              1-5-0    16.7611
511        Davidson                        0-2-0    16.7045
512        San Diego                       0-1-0    16.6084
513        Western Illinois                0-1-0    16.5956
514        Franklin                        0-1-0    16.5771
515        UW-La Crosse                    0-1-0    16.5771
516        SE Missouri St                  0-2-0    16.4567
517        Colorado Mines                  0-1-0    16.4221
518        Western New Mexico              0-1-0    16.4221
519        NW Oklahoma St                  0-1-0    16.4221
520        Colorado Mesa                   0-1-0    16.4221
521        Savannah St                     0-2-0    16.4059
522        Sacramento St                   2-3-0    16.3643
523        Howard                          0-2-0    16.3636
524        Bucknell                        3-1-0    16.3459
525        Elon                            3-3-0    16.2796
526        Lafayette                       1-4-0    16.2727
527        Albany NY                       3-2-0    16.2644
528        Virginia-Wise                   0-1-0    16.118
529        Belhaven                        0-1-0    16.118
530        Columbia                        0-1-0    16.0927
531        California PA                   0-1-0    15.9555
532        Wofford                         4-1-0    15.9157
533        Central Arkansas                4-4-0    15.8745
534        VMI                             0-1-0    15.8629
535        Massachusetts                   2-3-0    15.741
536        Midwestern St                   4-1-0    15.6938
537        Montana St                      4-2-0    15.6934
538        Fitchburg St                    0-1-0    15.6717
539        Western Kentucky                4-0-0    15.6111
540        Saginaw Valley St               3-3-0    15.5303
541        SW Minnesota St                 0-1-0    15.5144
542        Jacksonville St                 4-2-0    15.4054
543        Dickinson St                    0-1-0    15.293
544        Montana Tech                    0-1-0    15.293
545        Northwestern IA                 0-1-0    15.2729
546        NW Missouri St                  6-2-0    15.2717
547        Middle Tennessee St             1-3-0    15.2549
548        Tennessee-Martin                1-5-0    15.2511
549        Fordham                         1-2-0    15.2345
550        Old Dominion                    4-2-0    15.2234
551        Mississippi Valley St           0-3-0    15.0476
552        Cal Poly SLO                    4-1-0    15.0347
553        Delaware St                     0-4-0    14.931
554        Ashland                         4-1-0    14.8913
555        Eastern Washington              2-2-0    14.7742
556        Tusculum                        0-1-0    14.7452
557        Ithaca                          0-1-0    14.7291
558        Concordia-St Paul               0-1-0    14.7128
559        Eastern Illinois                1-5-0    14.6849
560        Brown                           3-1-0    14.6221
561        Sacred Heart                    0-2-0    14.5669
562        Tennessee Tech                  4-0-0    14.5376
563        West Texas A&M                  1-2-0    14.5368
564        Princeton                       0-2-0    14.4837
565        Gardner-Webb                    1-3-0    14.4589
566        Tiffin                          0-4-0    14.3857
567        Fort Hays St                    2-3-0    14.3709
568        Jacksonville St                 3-2-0    14.2952
569        Central Florida                 5-1-0    14.2271
570        Memphis                         1-4-0    14.2078
571        Hampton                         0-1-0    14.0056
572        Texas St-San Marcos             4-2-0    13.968
573        Emporia St                      3-3-0    13.9016
574        The Citadel                     0-1-0    13.7467
575        Chattanooga                     0-1-0    13.7467
576        Jacksonville FL                 2-3-0    13.6495
577        SE Missouri St                  0-3-0    13.4967
578        Northern Michigan               1-3-0    13.4416
579        Stony Brook                     3-2-0    13.3278
580        Pittsburg St                    5-0-0    13.3092
581        Concordia NE                    0-2-0    13.1958
582        Harvard                         5-0-0    13.1863
583        Illinois St                     2-3-0    13.1389
584        Western St CO                   0-2-0    13.118
585        Indianapolis                    5-1-0    13.0536
586        Chapman                         0-1-0    12.8986
587        Seton Hill                      0-2-0    12.8722
588        Livingstone                     0-2-0    12.7077
589        NW Missouri St                  5-1-0    12.6122
590        Hillsdale                       3-2-0    12.6045
591        Towson                          5-2-0    12.5909
592        St Francis PA                   2-3-0    12.5022
593        UC-Davis                        0-1-0    12.4675
594        Findlay                         3-3-0    12.3235
595        Muskingum                       0-2-0    12.1704
596        Wingate                         0-1-0    12.1404
597        Brevard                         0-1-0    12.1404
598        SE Missouri St                  3-3-0    12.0751
599        New Mexico Highlands            0-2-0    12.0444
600        Holy Cross                      0-1-0    12.0022
601        Troy                            3-2-0    11.9718
602        Dickinson                       0-1-0    11.9407
603        Fort Lewis                      0-3-0    11.8823
604        Colgate                         4-1-0    11.838
605        Weber St                        3-2-0    11.7906
606        Notre Dame OH                   0-2-0    11.7706
607        Northern Arizona                3-3-0    11.7243
608        Carson-Newman                   0-1-0    11.7082
609        Murray St                       3-2-0    11.7025
610        Dixie St                        0-4-0    11.6822
611        Holy Cross                      4-1-0    11.6383
612        Clark Atlanta                   0-1-0    11.5114
613        Liberty                         2-3-0    11.4812
614        Furman                          3-3-0    11.3893
615        Texas-San Antonio               0-3-0    11.3651
616        Otterbein                       0-1-0    11.3626
617        Benedictine IL                  0-1-0    11.3626
618        John Carroll                    0-1-0    11.3626
619        Wabash                          0-1-0    11.3626
620        Marietta                        0-1-0    11.3626
621        Benedictine KS                  0-2-0    11.3459
622        Lehigh                          5-1-0    11.3296
623        West Virginia St                0-3-0    11.17
624        Tennessee St                    2-4-0    11.1121
625        Florida A&M                     3-3-0    11.0769
626        Colorado Mesa                   1-3-0    10.9697
627        Monmouth NJ                     0-5-0    10.9687
628        North Park                      0-2-0    10.951
629        Walsh                           2-3-0    10.8563
630        Hampton                         2-3-0    10.8299
631        South Dakota St                 3-2-0    10.7048
632        Delaware                        5-1-0    10.5909
633        Wagner                          0-2-0    10.491
634        Central Missouri                3-2-0    10.4673
635        Fordham                         0-5-0    10.4245
636        West Virginia Tech              0-2-0    10.3893
637        Georgia St                      0-4-0    10.3781
638        Delaware St                     2-1-0    10.3716
639        Valdosta St                     3-1-0    10.2749
640        Sacramento St                   2-4-0    10.2568
641        Eastern New Mexico              0-1-0    10.1857
642        VMI                             0-5-0    10.1783
643        Augsburg                        0-2-0    10.1465
644        Concordia WI                    0-1-0    10.0989
645        Davidson                        0-3-0    10.0731
646        VMI                             2-2-0    10.0453
647        Lake Erie                       2-4-0    9.9951
648        Henderson St                    0-1-0    9.903
649        Mississippi Valley St           0-1-0    9.903
650        Northern Michigan               3-2-0    9.8994
651        Catawba                         0-3-0    9.722
652        Baker                           0-1-0    9.7197
653        McNeese St                      2-3-0    9.679
654        Richmond                        2-3-0    9.6619
655        Eastern Kentucky                3-1-0    9.5872
656        Ohio Dominican                  3-2-0    9.5419
657        Cornell NY                      3-2-0    9.5017
658        Presbyterian                    4-1-0    9.4999
659        Adams St                        2-3-0    9.4915
660        Chowan                          0-1-0    9.4905
661        Alabama A&M                     0-1-0    9.332
662        Yale                            3-1-0    9.2971
663        Alfred                          0-1-0    9.2769
664        Bryant                          3-2-0    9.2604
665        Idaho St                        2-2-0    9.2547
666        Missouri S and T                0-1-0    9.2462
667        St Joseph's IN                  0-1-0    9.2462
668        St Norbert                      0-1-0    9.2329
669        Delta St                        7-0-0    9.2193
670        Davidson                        0-1-0    9.1826
671        Colgate                         1-4-0    9.1632
672        Olivet                          0-4-0    9.1437
673        South Dakota                    6-0-0    9.1279
674        Bethune-Cookman                 0-1-0    8.9777
675        Valparaiso                      0-4-0    8.9724
676        UC-Davis                        0-1-0    8.9714
677        Drake                           0-1-0    8.8962
678        Stony Brook                     6-1-0    8.8593
679        Elizabeth City St               0-1-0    8.7969
680        Grand View                      0-1-0    8.7959
681        Quincy                          0-1-0    8.7959
682        St Francis IL                   0-1-0    8.7959
683        St Xavier                       0-1-0    8.7959
684        Central Arkansas                5-0-0    8.7538
685        Alcorn St                       0-2-0    8.6731
686        Presbyterian                    0-1-0    8.6663
687        Minnesota-Duluth                0-2-0    8.6341
688        Central Conn St                 2-3-0    8.6149
689        Tennessee-Martin                4-1-0    8.5828
690        Central St OH                   0-2-0    8.514
691        Temple                          4-2-0    8.3875
