Rank     Team                            W-L-T    Rating
261        Bryant                          5-0-0    27.9257
262        Chattanooga                     4-2-0    27.8453
263        Ashland                         3-2-0    27.8432
264        LSU                             0-2-0    27.6955
265        Western Illinois                2-3-0    27.6857
266        San Jose St                     0-1-0    27.6784
267        Georgia Southern                5-3-0    27.6378
268        South Florida                   2-2-0    27.6074
269        Grand Valley St                 3-2-0    27.5953
270        Old Dominion                    3-4-0    27.2663
271        Lenoir-Rhyne                    6-0-0    27.2594
272        Vanderbilt                      0-1-0    27.258
273        Marian IN                       4-0-0    27.1823
274        Bloomsburg                      5-0-0    27.1307
275        North Carolina St               0-1-0    27.0843
276        McNeese St                      2-2-0    27.0585
277        Monmouth NJ                     3-0-0    26.9691
278        South Alabama                   3-1-0    26.7145
279        Delta St                        4-1-0    26.6867
280        Wake Forest                     2-3-0    26.6167
281        Ball St                         2-3-0    26.4441
282        Charleston Southern             3-2-0    26.4338
283        San Jose St                     2-3-0    26.4228
284        Maine                           2-1-0    26.3963
285        Florida Atlantic                0-2-0    26.3821
286        Massachusetts                   1-3-0    26.3065
287        Ball St                         3-4-0    26.2666
288        Alcorn St                       6-0-0    26.1667
289        Tulane                          2-2-0    26.0764
290        Air Force                       4-2-0    26.0722
291        Eastern Oregon                  5-1-0    26.0703
292        Florida Int'l                   1-2-0    26.0547
293        Arkansas St                     3-3-0    26.0515
294        Harvard                         5-0-0    25.995
295        Colorado                        1-3-0    25.9747
296        Wofford                         4-0-0    25.9122
297        Rice                            3-2-0    25.8937
298        Sacred Heart                    4-0-0    25.8855
299        Wayne St MI                     3-1-0    25.8799
300        Eastern Washington              3-2-0    25.873
301        South Florida                   2-5-0    25.7475
302        Eastern Kentucky                4-0-0    25.6858
303        Cal Poly SLO                    4-1-0    25.6664
304        West Chester                    5-0-0    25.6257
305        Harvard                         4-0-0    25.6222
306        Maryland                        0-1-0    25.6129
307        Concord                         5-0-0    25.5498
308        Kentucky                        0-3-0    25.516
309        Eastern Illinois                2-5-0    25.4314
310        Wagner                          3-0-0    25.2981
311        Vanderbilt                      0-2-0    25.2353
312        Louisiana-Monroe                3-3-0    25.1149
313        New Hampshire                   3-1-0    25.1117
314        West Georgia                    6-0-0    25.0684
315        Utica                           3-0-0    24.9974
316        Arizona                         0-1-0    24.9813
317        Tulsa                           2-4-0    24.9633
318        Stephen F. Austin               3-2-0    24.7635
319        Eastern Kentucky                5-1-0    24.4066
320        Carroll MT                      4-1-0    24.3002
321        New Mexico                      4-2-0    24.1584
322        Richmond                        3-2-0    24.1456
323        Auburn                          0-1-0    24.1391
324        Northwestern St                 3-2-0    24.0782
325        Jacksonville FL                 4-0-0    24.007
326        Massachusetts                   2-3-0    23.9952
327        Missouri St                     0-1-0    23.8945
328        Southern Miss                   1-4-0    23.8207
329        North Texas                     3-3-0    23.6246
330        Penn St                         0-1-0    23.5145
331        Bryant                          3-1-0    23.4936
332        Yale                            5-1-0    23.4799
333        Samford                         2-2-0    23.4517
334        Bowling Green                   4-3-0    23.4475
335        Michigan Tech                   5-0-0    23.4206
336        South Carolina St               0-2-0    23.2749
337        North Carolina A&T              5-0-0    23.266
338        Stephen F. Austin               4-2-0    23.2197
339        Siena Heights                   3-0-0    23.2144
340        Southern Miss                   2-4-0    23.1956
341        Midwestern St                   4-2-0    23.1444
342        Troy                            0-1-0    23.1391
343        West Texas A&M                  5-1-0    23.1235
344        James Madison                   5-1-0    23.0655
345        North Alabama                   5-0-0    23.0231
346        Mount Union                     4-0-0    22.9661
347        Valdosta St                     4-1-0    22.8866
348        Ouachita Baptist                5-0-0    22.8675
349        Indiana                         2-4-0    22.7827
350        Montana St                      6-1-0    22.7442
351        Johns Hopkins                   5-0-0    22.5861
352        Eastern Oregon                  3-1-0    22.4804
353        Michigan                        1-2-0    22.4713
354        Tulane                          1-3-0    22.4394
355        Presbyterian                    4-1-0    22.2802
356        Florida Int'l                   0-1-0    22.2288
357        Wayne St MI                     4-2-0    22.0701
358        Tarleton St                     4-2-0    21.9623
359        Dartmouth                       4-1-0    21.8462
360        Missouri St                     2-2-0    21.8404
361        Tennessee-Martin                2-4-0    21.8155
362        Montana-Western                 4-1-0    21.8136
363        Samford                         5-1-0    21.7847
364        Morgan St                       4-0-0    21.779
365        Texas                           0-2-0    21.6924
366        Louisiana-Lafayette             4-2-0    21.3113
367        New Mexico                      0-6-0    21.1729
368        St Xavier                       5-0-0    21.1341
369        Lenoir-Rhyne                    5-0-0    21.0696
370        Delaware                        2-2-0    21.021
371        Western Illinois                2-2-0    20.9163
372        Siena Heights                   2-0-0    20.9084
373        Akron                           2-3-0    20.8986
374        Texas-San Antonio               2-3-0    20.8918
375        Akron                           3-3-0    20.8644
376        Harding                         4-1-0    20.7275
377        Connecticut                     2-4-0    20.7041
378        Wartburg                        5-0-0    20.689
379        Charleston WV                   4-1-0    20.5926
380        Carson-Newman                   4-1-0    20.3126
381        Lamar                           2-1-0    20.3067
382        Ohio U.                         0-1-0    20.258
383        Charleston WV                   4-2-0    20.1621
384        Middle Tennessee St             2-4-0    20.0753
385        San Jose St                     1-3-0    20.0711
386        California PA                   5-0-0    20.0602
387        California                      0-1-0    19.9793
388        Colorado St-Pueblo              5-1-0    19.9169
389        Wyoming                         0-1-0    19.8517
390        Walsh                           3-2-0    19.5107
391        Grand View                      5-0-0    19.5074
392        Rutgers                         0-2-0    19.5034
393        Vanderbilt                      0-3-0    19.4385
394        John Carroll                    6-0-0    19.4199
395        North Carolina A&T              4-1-0    19.3373
396        Adams St                        0-1-0    19.1715
397        Texas St-San Marcos             2-3-0    19.1
398        Dartmouth                       3-1-0    19.0706
399        Utah St                         0-1-0    19.003
400        Louisiana-Monroe                1-4-0    18.9895
401        Wyoming                         3-3-0    18.9715
402        Walsh                           0-1-0    18.9529
403        Miami OH                        2-4-0    18.888
404        Delaware                        0-1-0    18.8081
405        Truman St                       3-0-0    18.7147
406        Bucknell                        5-1-0    18.6992
407        Shepherd                        4-1-0    18.6815
408        Florida Int'l                   3-5-0    18.6374
409        Mary Hardin-Baylor              4-0-0    18.5575
410        Newberry                        3-2-0    18.5344
411        South Dakota                    0-1-0    18.5253
412        Kansas                          0-3-0    18.4955
