Rank	Team                            W-L-T	Schedule Factor
601		La Verne                        0-6-0	694
602		Whittier                        0-6-0	711
603		Hobart                          0-6-0	461
604		Occidental                      0-6-0	702
605		Doane                           0-6-0	420
606		Midland U.                      0-6-0	570
607		Dakota Wesleyan                 0-6-0	411
608		DePauw                          0-6-0	418
609		Methodist                       0-6-0	521
610		Concordia NE                    0-6-0	605
611		Alfred St                       0-6-0	540
612		North Carolina Wesleyan         0-6-0	551
613		Merchant Marine                 0-6-0	339
614		Austin                          0-6-0	350
615		Dickinson St                    0-6-0	109
616		North Park                      0-6-0	553
617		Huntingdon AL                   0-6-0	504
618		Defiance                        0-6-0	416
619		Wheaton                         0-6-0	661
620		Maryville                       0-6-0	519
621		Denison                         0-6-0	425
622		LaGrange                        0-6-0	364
623		Southwestern KS                 0-6-0	228
624		Jamestown                       0-6-0	60
625		Rhodes                          0-6-0	349
626		Rochester                       0-6-0	683
627		Northwestern IA                 0-6-0	195
628		Anderson                        0-6-0	338
629		Earlham                         0-6-0	426
630		McPherson                       0-6-0	354
631		Franklin                        0-6-0	468
632		Endicott                        0-6-0	436
633		Monmouth IL                     0-6-0	533
634		Dordt                           0-6-0	421
635		Morningside                     0-6-0	632
636		Curry                           0-6-0	316
637		Kansas Wesleyan                 0-6-0	485
638		Chicago                         0-6-0	393
639		Coast Guard                     0-6-0	399
640		Hastings                        0-6-0	484
641		Hendrix                         0-6-0	656
642		St Mary KS                      0-6-0	600
643		Manchester                      0-6-0	677
644		Alma                            0-6-0	458
645		Claremont-Mudd-Scripps          0-6-0	573
646		Ottawa                          0-6-0	565
647		Bridgewater St MA               0-6-0	312
648		Millikin                        0-6-0	448
649		Lake Forest                     0-6-0	668
650		Sterling                        0-6-0	606
651		Framingham St                   0-6-0	437
652		Bluffton                        0-6-0	367
653		Apprentice                      0-6-0	340
654		Tabor                           0-6-0	613
655		St Norbert                      0-6-0	379
656		Bethany KS                      0-6-0	361
657		Plymouth St                     0-6-0	383
658		Centre                          0-6-0	388
659		Valley City St                  0-6-0	61
660		Cornell IA                      0-6-0	691
661		UMass-Dartmouth                 0-6-0	319
662		Hope                            0-6-0	532
663		Albion                          0-6-0	628
