Rank   Team                            W-L-T     Rating
 505   Rhodes                          8-2-0   -23.0689
 506   Bethany WV                      6-4-0   -23.0745
 507   Augsburg                        4-6-0    -23.118
 508   Albion                          6-4-0    -23.284
 509   Methodist                       6-4-0   -23.2965
 510   Friends                         8-3-0   -23.4395
 511   Illinois College                7-3-0   -23.5199
 512   RPI                             6-4-0   -23.7689
 513   Tabor                           7-4-0   -23.8775
 514   Davidson                        0-10-0   -23.9066
 515   Trinity Int'l                   3-7-0   -23.9412
 516   Western Conn St                 7-3-0   -23.9731
 517   Western New England             8-2-0   -24.3652
 518   Dickinson                       3-7-0   -24.3682
 519   Buena Vista                     5-5-0   -24.6484
 520   Graceland                       6-5-0   -24.6905
 521   Denison                         6-4-0   -24.7857
 522   Christopher Newport             7-3-0   -24.8018
 523   UW-Stout                        2-8-0   -24.8833
 524   East Texas Baptist              4-6-0   -25.0923
 525   Warner U.                       5-5-0   -25.2084
 526   Susquehanna                     2-8-0   -25.2951
 527   Claremont-Mudd-Scripps          5-4-0   -25.3195
 528   Westminster PA                  4-6-0   -25.4888
 529   McMurry                         2-8-0    -25.903
 530   Ohio Wesleyan                   6-4-0   -25.9262
 531   Chowan                          2-8-0   -26.1085
 532   Paine                           2-8-0   -26.3608
 533   NW Oklahoma St                  3-7-0   -26.5342
 534   Union KY                        1-9-0   -26.5575
 535   MIT                             9-0-0   -26.5767
 536   Doane                           7-3-0   -26.6753
 537   Menlo                           3-8-0   -26.7368
 538   Case Western Reserve            3-7-0   -26.7528
 539   Evangel                         5-6-0   -27.3112
 540   Cal Lutheran                    4-5-0   -27.3191
 541   Springfield                     5-5-0   -27.4266
 542   Olivet Nazarene                 2-9-0   -27.7153
 543   Frostburg St                    4-6-0   -27.9612
 544   Kentucky Wesleyan               5-4-0   -28.0055
 545   Illinois Wesleyan               4-6-0   -28.0433
 546   Simpson                         3-7-0   -28.4221
 547   Hartwick                        2-8-0   -28.4738
 548   Albright                        6-4-0   -28.6327
 549   Hope                            6-4-0   -29.0056
 550   Salve Regina                    6-4-0   -29.0884
 551   Dickinson St                    7-4-0   -29.2214
 552   Augustana IL                    5-5-0   -29.3384
 553   Rose-Hulman                     7-3-0   -29.3981
 554   Shenandoah                      4-6-0   -29.4631
 555   North Carolina Wesleyan         5-5-0   -29.5948
 556   Millersville                    1-10-0   -29.6952
 557   Sterling                        7-4-0   -29.7455
 558   King's PA                       4-6-0    -29.947
 559   UW-Eau Claire                   1-9-0   -30.0168
 560   St Scholastica                  10-0-0    -30.018
 561   Union NY                        2-8-0   -30.0378
 562   St Vincent                      4-6-0   -30.2207
 563   Luther                          5-5-0   -30.4287
 564   Washington U.                   4-6-0   -30.6453
 565   Concordia NE                    5-6-0    -30.652
 566   Southern Nazarene               0-11-0   -30.6869
 567   Worcester St                    7-3-0   -30.9986
 568   Wooster                         4-6-0    -31.066
 569   Central Methodist               5-6-0   -31.1686
 570   Limestone                       1-9-0   -31.2269
 571   Pace                            1-10-0   -31.2366
 572   Trinity TX                      4-6-0   -31.2662
 573   Belhaven                        2-9-0   -31.2774
 574   Endicott                        5-5-0   -31.3574
 575   Bethany KS                      6-5-0   -31.9094
 576   Olivet                          6-4-0   -32.0683
 577   Geneva                          3-7-0   -32.2029
 578   Macalester                      9-1-0    -32.275
 579   Jamestown                       5-5-0   -32.4412
 580   Thiel                           4-6-0   -32.4975
 581   Muskingum                       3-7-0   -32.5159
 582   Puget Sound                     4-5-0   -32.5784
 583   WPI                             4-6-0   -32.6261
 584   Edward Waters                   4-6-0   -32.7099
 585   Hastings                        6-4-0   -32.7268
 586   Manchester                      4-6-0   -32.7799
 587   Washington and Lee              2-8-0   -32.9878
 588   SW Assem of God                 4-6-0   -33.0534
 589   Cornell IA                      5-4-0   -33.0924
 590   Elmhurst                        5-5-0   -33.0962
 591   Dakota Wesleyan                 7-4-0   -33.4134
 592   Occidental                      5-4-0   -33.4498
 593   Hendrix                         6-4-0   -33.5904
 594   Rochester                       5-4-0    -33.642
 595   Wilkes                          2-8-0   -33.6804
 596   Benedictine IL                  6-4-0   -33.6808
 597   St Norbert                      6-4-0    -33.681
 598   Bluffton                        6-4-0   -33.7004
 599   Lindenwood-Belleville           2-8-0   -33.8498
 600   William Paterson                4-6-0   -33.8633
 601   Millsaps                        3-6-0   -33.9138
 602   Hamline                         4-6-0   -33.9153
 603   Culver-Stockton                 5-6-0   -34.0089
 604   Bacone                          3-8-0   -34.2904
 605   Husson                          8-1-0   -34.2969
 606   Hiram                           5-5-0   -34.3615
