Rank     Team                            W-L-T    Schedule Factor
452        Langston                        0-1-0    20.1005
453        Wilmington                      0-1-0    20.0435
454        Shorter                         0-2-0    20.0323
455        Nicholls St                     0-4-0    19.9963
456        West Georgia                    0-1-0    19.964
457        North Dakota St                 5-0-0    19.9257
458        Mississippi College             0-1-0    19.8533
459        Weber St                        1-5-0    19.8507
460        Lafayette                       1-5-0    19.6854
461        New Mexico                      4-2-0    19.6584
462        Lehigh                          1-4-0    19.6543
463        Missouri St                     2-2-0    19.5904
464        Houston Baptist                 0-1-0    19.5587
465        Coll of Idaho                   0-1-0    19.5578
466        Pennsylvania                    0-5-0    19.5206
467        South Dakota                    2-3-0    19.4635
468        Georgetown DC                   0-2-0    19.3361
469        Coll of Idaho                   1-4-0    19.3318
470        Marshall                        6-0-0    19.2524
471        Duquesne                        1-4-0    19.0932
472        Cornell                         0-2-0    19.0117
473        Houston                         3-2-0    18.999
474        Montana Tech                    0-1-0    18.8911
475        Sacramento St                   2-3-0    18.8849
476        Eastern Washington              3-2-0    18.873
477        Stillman                        0-1-0    18.8621
478        Bowie St                        0-1-0    18.8564
479        Saginaw Valley St               0-1-0    18.803
480        Tiffin                          2-2-0    18.796
481        Stephen F. Austin               3-2-0    18.7635
482        Old Dominion                    3-2-0    18.4391
483        South Alabama                   0-1-0    18.3887
484        Southern U.                     0-1-0    18.3887
485        Akron                           3-3-0    18.3644
486        Bryant                          3-1-0    18.2436
487        Northern Iowa                   4-1-0    18.1988
488        Tusculum                        0-1-0    18.1471
489        Arkansas-Pine Bluff             0-3-0    18.1196
490        Walsh                           1-3-0    17.9631
491        Howard                          0-1-0    17.9418
492        Air Force                       4-2-0    17.9055
493        Augsburg                        0-2-0    17.8596
494        Michigan Tech                   4-0-0    17.8312
495        SW Oklahoma St                  0-1-0    17.8049
496        SE Oklahoma St                  0-1-0    17.8049
497        Montana St                      2-2-0    17.759
498        James Madison                   3-1-0    17.7061
499        Malone                          0-2-0    17.6458
500        Grand Valley St                 3-2-0    17.5953
501        SE Missouri St                  1-5-0    17.5719
502        UW-La Crosse                    0-2-0    17.5573
503        Marshall                        5-1-0    17.488
504        Louisiana-Lafayette             4-2-0    17.478
505        Wingate                         0-1-0    17.39
506        Portland St                     1-6-0    17.3613
507        Ohio Dominican                  3-1-0    17.264
508        North Texas                     3-3-0    17.1246
509        Furman                          0-2-0    17.1121
510        New Hampshire                   6-0-0    17.0586
511        Central Conn St                 0-2-0    16.9399
512        Benedict                        0-1-0    16.8619
513        Western Michigan                3-2-0    16.8251
514        Tarleton St                     4-2-0    16.7956
515        Chattanooga                     4-1-0    16.7499
516        North Dakota                    0-3-0    16.7413
517        Tennessee Tech                  0-2-0    16.7212
518        Lake Erie                       2-3-0    16.7133
519        Robert Morris PA                1-2-0    16.6297
520        Georgetown DC                   0-2-0    16.6065
521        Grand Valley St                 3-3-0    16.5471
522        The Citadel                     3-3-0    16.5295
523        Stonehill                       0-1-0    16.5105
524        Lock Haven                      0-1-0    16.5105
525        Baldwin Wallace                 0-1-0    16.4974
526        Capital                         0-1-0    16.4974
527        Morgan St                       0-1-0    16.4148
528        Jacksonville St                 4-0-0    16.3037
529        Furman                          2-2-0    16.275
530        Malone                          1-2-0    16.1878
531        Youngstown St                   5-2-0    16.1871
532        Central Arkansas                5-1-0    16.1444
533        Alfred St                       0-1-0    16.085
534        Frostburg St                    0-1-0    16.085
535        Utica                           0-1-0    16.085
536        Southern Oregon                 4-1-0    16.0567
537        West Texas A&M                  1-3-0    15.9822
538        Elon                            0-3-0    15.8791
539        St Francis PA                   2-4-0    15.7913
540        Northern Michigan               2-3-0    15.7364
541        Wagner                          0-1-0    15.7148
542        Mississippi Valley St           0-1-0    15.6956
543        Memphis                         3-1-0    15.683
544        Northern Arizona                4-0-0    15.6538
545        Redlands                        0-1-0    15.6349
546        Mars Hill                       1-3-0    15.6223
547        TAMU-Commerce                   2-2-0    15.4713
548        TAMU-Kingsville                 1-2-0    15.4211
549        Rhode Island                    0-4-0    15.3747
550        Western Carolina                2-3-0    15.3409
551        Fayetteville St                 0-1-0    15.2472
552        Johnson C. Smith                0-1-0    15.2472
553        Western Carolina                5-1-0    15.2408
554        Presbyterian                    0-1-0    15.2207
555        South Alabama                   3-1-0    15.2145
556        Maine                           0-1-0    14.9947
557        Central Conn St                 0-1-0    14.9947
558        Liberty                         4-2-0    14.9583
559        Tennessee St                    0-1-0    14.9498
560        Jackson St                      0-1-0    14.9479
561        Edward Waters                   0-1-0    14.9479
562        Texas Southern                  0-1-0    14.9374
563        Colgate                         0-6-0    14.8832
564        North Carolina A&T              0-1-0    14.8665
565        Concordia MI                    0-2-0    14.8341
566        Northern Michigan               1-4-0    14.7711
567        West Liberty                    2-4-0    14.768
568        UW-Platteville                  0-1-0    14.766
569        Duquesne                        4-2-0    14.7635
570        Bryant                          0-1-0    14.7479
571        Saginaw Valley St               2-3-0    14.7472
572        Alma                            0-1-0    14.7347
573        Southern Illinois               4-2-0    14.7185
574        Chattanooga                     4-2-0    14.6786
575        McMurry                         1-5-0    14.6633
576        Fairmont St                     0-1-0    14.6291
577        Virginia-Wise                   0-1-0    14.6291
578        Furman                          1-3-0    14.6236
579        Montana Tech                    0-4-0    14.5773
580        Georgia Southern                4-0-0    14.534
581        McKendree                       2-3-0    14.5099
582        Coll of Idaho                   3-2-0    14.3
583        Nicholls St                     0-4-0    14.2909
584        Northern Colorado               1-4-0    14.2567
585        Jacksonville St                 5-0-0    14.2355
586        Angelo St                       4-0-0    14.1695
587        UW-Stevens Point                0-1-0    14.1469
588        New Hampshire                   3-1-0    14.1117
589        Randolph-Macon                  0-1-0    14.0513
590        American Int'l                  0-1-0    14.0468
591        Maine                           0-1-0    14.0468
592        Stony Brook                     2-2-0    13.9588
593        James Madison                   5-1-0    13.8988
594        UNC-Charlotte                   2-3-0    13.895
595        Malone                          0-6-0    13.8891
596        Robert Morris PA                0-3-0    13.8606
597        Wilmington                      0-1-0    13.8574
598        Villanova                       0-1-0    13.8273
599        Carroll MT                      5-0-0    13.8067
600        Holy Cross                      1-5-0    13.7377
601        Northwestern St                 3-2-0    13.6782
602        UW-Stout                        0-2-0    13.6228
603        Rhode Island                    0-4-0    13.6121
604        Southern Nazarene               0-2-0    13.4977
605        Rowan                           0-1-0    13.4413
606        Abilene Christian               3-3-0    13.4211
607        Incarnate Word                  1-3-0    13.3688
608        North Greenville                1-4-0    13.3579
609        Luther                          0-1-0    13.3139
610        Kutztown                        0-1-0    13.1881
611        Maine                           3-2-0    13.1848
612        Urbana                          0-5-0    13.1305
613        UW-Eau Claire                   0-3-0    13.1177
614        Rocky Mountain                  4-2-0    13.0837
615        Central St OH                   0-1-0    13.047
616        William Jewell                  0-1-0    12.9329
617        Lewis & Clark                   0-2-0    12.8462
618        Ohio Dominican                  5-0-0    12.8304
619        Holy Cross                      3-2-0    12.7992
620        Northwood                       2-3-0    12.6797
621        Tennessee Tech                  4-2-0    12.572
622        Texas Southern                  1-2-0    12.5556
623        Hampton                         2-4-0    12.4997
624        Buena Vista                     0-1-0    12.4797
625        Stetson                         0-2-0    12.4405
626        Cornell                         0-3-0    12.3283
627        Millersville                    0-3-0    12.2832
628        New Mexico St                   1-3-0    12.2691
629        Cal Poly SLO                    4-1-0    12.2664
630        North Carolina Central          2-3-0    12.2527
631        William & Mary                  3-1-0    12.2129
632        Presbyterian                    4-1-0    12.0802
633        Southern Utah                   2-2-0    12.0746
634        Marist                          0-2-0    12.0578
635        Rocky Mountain                  1-3-0    11.9953
636        Towson                          2-3-0    11.9668
637        Arkansas Tech                   0-4-0    11.9172
638        Alabama St                      1-3-0    11.9017
639        Mississippi College             0-2-0    11.8099
640        Ferris St                       5-0-0    11.7462
641        Montana St-Northern             1-4-0    11.7451
642        Portland St                     2-2-0    11.7422
643        TAMU-Kingsville                 0-1-0    11.7356
644        Columbia                        0-3-0    11.6969
645        Misericordia                    0-2-0    11.5048
646        Midwestern St                   4-2-0    11.4777
647        Northwood                       3-1-0    11.4501
648        Montana-Western                 2-2-0    11.3935
649        Sacred Heart                    4-0-0    11.3855
650        Montana St-Northern             2-4-0    11.379
651        Cheyney                         0-2-0    11.3314
652        Lehigh                          2-3-0    11.3019
653        Norfolk St                      0-2-0    11.2415
654        Liberty                         3-2-0    11.0981
655        Hillsdale                       3-1-0    11.0969
656        Ferris St                       6-0-0    11.0338
657        Alabama A&M                     0-5-0    10.9308
658        Incarnate Word                  0-1-0    10.881
659        St Olaf                         0-1-0    10.8133
660        Albany NY                       3-3-0    10.792
661        Montana                         5-0-0    10.7884
662        Stephen F. Austin               4-2-0    10.7197
663        Brown                           2-2-0    10.7106
664        Coastal Carolina                7-0-0    10.4977
665        Bucknell                        3-1-0    10.4963
666        Kentucky Christian              0-1-0    10.4828
667        West Virginia St                0-1-0    10.4085
668        UC-Davis                        1-3-0    10.2453
669        Wayne St MI                     4-2-0    10.2368
670        WV Wesleyan                     0-2-0    10.2286
671        Arkansas-Pine Bluff             1-2-0    10.1933
672        Tarleton St                     1-3-0    10.1371
673        Idaho St                        5-0-0    9.9996
674        Gardner-Webb                    1-2-0    9.9552
675        Eastern Oregon                  5-1-0    9.9037
676        Brevard                         0-6-0    9.8406
677        Elizabeth City St               0-2-0    9.8016
678        King's PA                       0-2-0    9.7672
679        Chowan                          0-3-0    9.7319
680        Fairmont St                     2-3-0    9.6942
681        Walsh                           3-2-0    9.5107
682        Trinity Int'l                   0-1-0    9.3805
683        SE Louisiana                    6-0-0    9.3707
684        Butler                          0-1-0    9.3084
685        Tennessee St                    4-3-0    9.2991
686        Albany NY                       3-2-0    9.2722
687        Robert Morris PA                0-2-0    9.27
688        George Fox                      0-1-0    9.2598
