Rank     Team                            W-L-T    Schedule Factor
421        Indiana                         3-3-0    21.0062
422        John Carroll                    0-1-0    20.9664
423        Minnesota-Crookston             0-4-0    20.9431
424        Christopher Newport             0-1-0    20.864
425        Thomas More                     0-1-0    20.864
426        Howard Payne                    0-1-0    20.864
427        Texas Lutheran                  0-1-0    20.864
428        TCU                             5-0-0    20.8543
429        Illinois St                     5-1-0    20.8386
430        Utah St                         3-1-0    20.7935
431        James Madison                   3-1-0    20.7558
432        Texas St-San Marcos             1-3-0    20.681
433        Massachusetts                   3-2-0    20.3184
434        Richmond                        1-1-0    20.2066
435        Weber St                        2-4-0    20.1624
436        UW-Stout                        0-1-0    20.143
437        UW-La Crosse                    0-1-0    20.143
438        Adrian                          0-1-0    20.143
439        Colorado St                     3-1-0    20.1119
440        Albany St GA                    0-1-0    20.1013
441        VMI                             0-5-0    19.9975
442        Miami OH                        5-2-0    19.928
443        Missouri St                     4-0-0    19.7903
444        Delta St                        5-2-0    19.7258
445        Indiana St                      1-2-0    19.6888
446        Jacksonville St                 4-2-0    19.64
447        Midwestern St                   0-1-0    19.6055
448        Ball St                         2-4-0    19.6
449        Tuskegee                        0-1-0    19.5994
450        St Cloud St                     4-3-0    19.4325
451        Delaware                        3-1-0    19.4041
452        Truman St                       2-4-0    19.3702
453        Henderson St                    2-4-0    19.3045
454        Appalachian St                  7-1-0    19.2998
455        Northern Iowa                   4-1-0    19.2481
456        South Florida                   4-2-0    19.1685
457        Central Arkansas                0-1-0    19.1548
458        Apprentice                      0-1-0    19.0472
459        Mary Hardin-Baylor              0-1-0    19.0472
460        Nebraska-Omaha                  2-2-0    18.9942
461        Troy                            3-4-0    18.9571
462        Portland St                     1-3-0    18.9406
463        Sioux Falls                     0-1-0    18.9305
464        Cal Poly SLO                    0-1-0    18.9301
465        San Diego                       0-1-0    18.9301
466        William & Mary                  5-1-0    18.8953
467        Lamar                           0-2-0    18.89
468        New Hampshire                   4-3-0    18.8551
469        Missouri Western                0-2-0    18.7762
470        Texas St-San Marcos             3-2-0    18.7636
471        Cal Poly SLO                    3-2-0    18.6692
472        Towson                          0-3-0    18.5956
473        Ball St                         2-3-0    18.5861
474        Kent St                         1-3-0    18.5478
475        Western Carolina                0-3-0    18.536
476        Georgia Southern                6-2-0    18.5081
477        Lamar                           0-1-0    18.4627
478        Lambuth                         2-2-0    18.4468
479        Southern Arkansas               1-3-0    18.3986
480        The Citadel                     1-2-0    18.3802
481        Missouri                        3-2-0    18.338
482        NW Missouri St                  0-1-0    18.3188
483        Incarnate Word                  0-1-0    18.3188
484        East Central OK                 0-1-0    18.3188
485        Montana St                      3-1-0    18.3181
486        Western Kentucky                0-1-0    18.2714
487        Northern Colorado               0-1-0    18.241
488        Clarion                         0-1-0    18.2373
489        Gannon                          0-1-0    18.2373
490        New Hampshire                   0-1-0    18.198
491        Weber St                        4-1-0    18.1513
492        Eastern Washington              0-1-0    17.9418
493        Nebraska-Omaha                  3-4-0    17.8596
494        Findlay                         0-1-0    17.8359
495        Appalachian St                  3-2-0    17.6903
496        Northwood                       2-4-0    17.5143
497        Grove City                      0-1-0    17.4416
498        Wofford                         5-1-0    17.4028
499        Florida Atlantic                2-5-0    17.3446
500        Towson                          1-4-0    17.3095
501        Bowling Green                   1-2-0    17.3018
502        North Carolina Central          0-3-0    17.2562
503        UTEP                            5-2-0    17.2008
504        Arkansas-Pine Bluff             0-1-0    17.1469
505        Delaware                        9-2-0    17.1396
506        Adams St                        0-1-0    17.0738
507        Alabama St                      0-1-0    17.0438
508        Northwestern St                 0-3-0    17.0092
509        SE Louisiana St                 0-1-0    16.8696
510        Findlay                         0-4-0    16.8659
511        Western St CO                   0-3-0    16.8013
512        Montana                         5-1-0    16.7278
513        Central Florida                 5-2-0    16.5613
514        Mississippi Valley St           0-2-0    16.4922
515        Shorter                         0-2-0    16.4623
516        Central Michigan                2-3-0    16.4245
517        Northern Iowa                   0-1-0    16.4213
518        Georgetown DC                   0-1-0    16.4213
