Away Team, Away Score, Home Team, Home Score
Wofford,28,Elon,21
Catholic,33,Emory & Henry,31
Truman St,37,Emporia St,34
Northwestern MN,14,Eureka,40
WV Wesleyan,14,Fairmont St,45
Livingstone,6,Fayetteville St,59
Wilkes,28,FDU-Florham,23
Grand Valley St,41,Ferris St,0
Shenandoah,20,Ferrum,56
Lake Erie,48,Findlay,45
Bridgewater St MA,28,Fitchburg St,13
Lafayette,10,Fordham,14
Pittsburg St,38,Fort Hays St,21
Bethany KS,28,Friends,60
Chattanooga,36,Furman,28
Indiana PA,17,Gannon,45
Presbyterian,26,Gardner-Webb,24
Wash & Jeff,22,Geneva,16
West Virginia St,27,Glenville St,42
Waldorf,21,Haskell,10
Marietta,26,Heidelberg,49
Harding,28,Henderson St,33
Trine,31,Hope,10
Mississippi College,42,Howard Payne,27
Castleton St,55,Husson,51
New Mexico St,14,Idaho,37
Indiana,13,Illinois,43
Ripon,35,Illinois College,40
Wisconsin,31,Iowa,30
St Xavier,65,Iowa Wesleyan,6
Springfield,14,Ithaca,23
Marist,14,Jacksonville FL,56
Austin Peay,3,Jacksonville St,56
Ohio Northern,35,John Carroll,14
St Augustine's,34,Johnson C. Smith,24
Moravian,42,Juniata,0
Texas A&M,45,Kansas,10
Sterling,22,Kansas Wesleyan,21
William Paterson,2,Kean,29
Georgia,44,Kentucky,31
Lindsey Wilson,40,Kentucky Christian,37
Fort Valley St,14,Kentucky St,12
St Joseph's IN,43,Kentucky Wesleyan,35
Chicago,35,Kenyon,14
Lebanon Valley,21,King's PA,19
Carroll WI,35,Knox,0
C.W. Post,48,Kutztown,50
Lawrence,14,Lake Forest,35
Stillman,26,Lane,25
NW Oklahoma St,20,Langston,13
Bucknell,10,Lehigh,32
Tusculum,31,Lenoir-Rhyne,34
Western Kentucky,54,Louisiana-Lafayette,21
Connecticut,0,Louisville,26
Carleton,42,Macalester,27
Crown,44,MacMurray,28
Mass Maritime,27,Maine Maritime,28
Hanover,35,Manchester,25
North Carolina Wesleyan,34,Maryville,16
New Hampshire,39,Massachusetts,13
Valley City St,36,Mayville St,6
William Penn,14,McKendree,24
Hobart,40,Merchant Marine,33
California PA,21,Mercyhurst,31
Colorado St-Pueblo,26,Mesa St,14
Averett,7,Methodist,3
North Carolina,10,Miami FL,33
Ohio U.,34,Miami OH,13
Northwood,30,Michigan Tech,62
Evangel,10,MidAmerica Nazarene,45
Louisiana-Monroe,10,Middle Tennessee St,38
Dordt,0,Midland,42
Benedict,20,Miles,14
East Stroudsburg,65,Millersville,14
Elmhurst,40,Millikin,34
Augustana SD,47,Minn St-Moorhead,17
Penn State,33,Minnesota,21
St Scholastica,28,Minnesota-Morris,7
Alabama-Birmingham,24,Mississippi St,29
Grambling St,35,Mississippi Valley St,14
Oklahoma,27,Missouri,36
Missouri Western,6,Missouri Southern,23
Western Illinois,28,Missouri St,31
Central Methodist,0,Missouri Valley,33
Salve Regina,13,MIT,7
St Francis PA,7,Monmouth NJ,19
Northern Arizona,21,Montana,24
Northern Colorado,35,Montana St,37
Montana St-Northern,21,Montana Tech,14
Rocky Mountain,34,Montana-Western,16
Albany St GA,13,Morehouse,12
Delaware St,24,Morgan St,34
Concordia NE,3,Morningside,17
Cortland St,42,Morrisville St,6
SUNY-Maritime,37,Mount Ida,35
Capital,0,Mount Union,38
Franklin & Marshall,17,Muhlenberg,7
Notre Dame,17,Navy,35
Briar Cliff,27,Nebraska Wesleyan,34
New Mexico Highlands,13,Nebraska-Kearney,38
Merrimack,25,New Haven,27
San Diego St,30,New Mexico,20
Catawba,28,Newberry,25
Central Arkansas,31,Nicholls St,7
Florida A&M,17,Norfolk St,13
Howard,32,North Carolina A&T,52
Bethune-Cookman,23,North Carolina Central,10
Illinois Wesleyan,7,North Central,30
Indiana St,15,North Dakota St,27
Edward Waters,0,North Greenville,42
Augustana IL,21,North Park,0
Central Oklahoma,28,Northeastern St OK,39
Central Michigan,7,Northern Illinois,33
Illinois St,14,Northern Iowa,42
Indianapolis,6,Northern Michigan,5
Minnesota-Duluth,27,Northern St SD,7
Michigan St,35,Northwestern,27
Marian IN,35,Notre Dame OH,22
Purdue,0,Ohio State,49
SW Assem of God,31,OK Panhandle St,35
Nebraska,51,Oklahoma St,41
Georgia St,20,Old Dominion,34
Albion,42,Olivet,24
St Francis IL,49,Olivet Nazarene,35
St Mary KS,16,Ottawa,34
Muskingum,14,Otterbein,49
North Alabama,23,Ouachita Baptist,24
Linfield,35,Pacific Lutheran,20
Whitworth,24,Pacific OR,12
Lincoln MO,33,Peru St,41
Virginia-Wise,33,Pikeville,10
Rutgers,21,Pittsburgh,41
Western New England,14,Plymouth St,6
Harvard,45,Princeton,28
Lewis & Clark,68,Puget Sound,64
Guilford,21,Randolph-Macon,59
Occidental,7,Redlands,51
Maine,28,Rhode Island,23
Towson,6,Richmond,28
Bluffton,13,Rose-Hulman,40
Georgetown DC,20,Sacred Heart,33
Stephen F. Austin,31,Sam Houston St,28
Valparaiso,10,San Diego,30
Fresno St,33,San Jose St,18
McNeese St,13,SE Louisiana St,10
Eastern Kentucky,21,SE Missouri St,40
East Central OK,20,SE Oklahoma St,19
Concord,28,Seton Hill,17
Chowan,14,Shaw,35
Cheyney,0,Shippensburg,50
Cumberlands KY,21,Shorter,14
Coe,42,Simpson,21
Dakota Wesleyan,3,Sioux Falls,63
Lock Haven,14,Slippery Rock,56
Houston,45,SMU,20
Hampton,7,South Carolina St,10
Youngstown St,20,South Dakota St,30
Dickinson St,24,South Dakota Tech,14
Prairie View A&M,30,Southern U.,16
South Dakota,13,Southern Utah,31
Apprentice,20,Southern Virginia,18
McPherson,55,Southwestern KS,21
Quincy,7,St Ambrose,44
Minnesota-Crookston,6,St Cloud St,49
Missouri S&T,14,St Francis IN,41
Gustavus Adolphus,13,St John's MN,33
RPI,3,St Lawrence,14
Grinnell,14,St Norbert,58
Augsburg,14,St Olaf,48
Bethel MN,6,St Thomas,10
Grove City,17,St Vincent,42
Washington St,28,Stanford,38
Southern Conn St,45,Stonehill,21
Louisiana College,56,Sul Ross St,46
Johns Hopkins,49,Susquehanna,24
Central St OH,0,SW Baptist,52
TAMU-Kingsville,13,Tarleton St,10
Air Force,7,TCU,38
Alabama,41,Tennessee,10
Tennessee Tech,21,Tennessee St,10
Iowa St,28,Texas,21
Southern Nazarene,52,Texas College,49
Hardin-Simmons,63,Texas Lutheran,17
Jackson St,18,Texas Southern,21
Northwestern St,16,Texas St-San Marcos,3
Georgia Southern,20,The Citadel,0
Ohio Dominican,41,Tiffin,21
Ball St,24,Toledo,31
Taylor,25,Trinity Int'l,10
DePauw,32,Trinity TX,31
South Alabama,24,UC-Davis,21
Endicott,37,UMass-Dartmouth,13
Belhaven,15,Union KY,34
Salisbury,52,Union NY,21
SW Minnesota St,40,Upper Iowa,34
Charleston WV,44,Urbana,34
McDaniel,18,Ursinus,43
Colorado St,6,Utah,59
Hawai`i,45,Utah St,7
Tulane,34,UTEP,24
UW-Platteville,14,UW-Oshkosh,41
UW-Whitewater,63,UW-River Falls,14
UW-La Crosse,17,UW-Stevens Point,31
UW-Eau Claire,28,UW-Stout,37
Arkansas-Monticello,17,Valdosta St,21
South Carolina,21,Vanderbilt,7
James Madison,7,Villanova,14
Eastern Michigan,21,Virginia,48
Lincoln PA,0,Virginia St,42
Duke,7,Virginia Tech,44
St Paul's,28,Virginia Union,39
Duquesne,21,Wagner,20
Malone,21,Walsh,24
Dubuque,17,Wartburg,55
NW Missouri St,41,Washburn,40
Oberlin,7,Washington U.,21
Hillsdale,9,Wayne St MI,14
Minn St-Mankato,13,Wayne St NE,3
Frostburg St,7,Waynesburg,41
Huntingdon AL,35,Webber Int'l,23
Portland St,41,Weber St,44
Arkansas Tech,26,West Alabama,49
Delta St,54,West Georgia,34
Shepherd,53,West Liberty St,38
Midwestern St,29,West Texas A&M,42
Syracuse,19,West Virginia,14
Georgetown KY,52,West Virginia Tech,16
Appalachian St,37,Western Carolina,14
Montclair St,31,Western Conn St,3
Azusa Pacific,17,Western Oregon,38
Colorado Mines,39,Western St CO,13
Framingham St,48,Westfield St,27
Greenville,30,Westminster MO,21
Thiel,0,Westminster PA,35
Carthage,24,Wheaton,31
Albright,35,Widener,27
Menlo,15,Willamette,32
Delaware,16,William & Mary,17
UNC-Pembroke,7,Winston-Salem St,21
Rockford,0,Wisconsin Lutheran,19
Coast Guard,7,Worcester St,31
Rochester,16,WPI,15
Pennsylvania,27,Yale,20
Rhodes,16,Austin,17
SW Oklahoma St,24,TAMU-Commerce,10
Louisiana Tech,20,Boise St,49
North Carolina A&T,17,Bethune-Cookman,67
North Alabama,31,Delta St,7
Florida St,24,North Carolina St,28
Bentley,35,Assumption,21
Washington and Lee,49,Catholic,14
West Virginia,13,Connecticut,16
Greenville,51,Crown,20
Minnesota-Morris,27,Macalester,48
Angelo St,20,Abilene Christian,33
Utah,28,Air Force,23
Alabama A&M,10,Alabama St,31
Stillman,5,Albany St GA,44
Adrian,21,Albion,38
Southern U.,20,Alcorn St,27
Rochester,24,Alfred,14
Kalamazoo,10,Alma,35
Franklin,69,Anderson,10
Furman,26,Appalachian St,37
Washington St,0,Arizona St,42
Vanderbilt,14,Arkansas,49
Valdosta St,21,Arkansas Tech,7
Grambling St,35,Arkansas-Pine Bluff,25
VMI,7,Army,29
Wheaton,20,Augustana IL,14
Minn St-Mankato,13,Augustana SD,17
Texas College,6,Bacone,54
Cumberlands KY,21,Belhaven,24
Northern St SD,13,Bemidji St,41
Concordia AL,14,Benedict,41
Lindenwood,40,Benedictine KS,24
Southwestern KS,52,Bethel KS,14
Concordia-Moorhead,20,Bethel MN,36
Hanover,27,Bluffton,20
Clemson,10,Boston College,16
Midland,31,Briar Cliff,10
Maine Maritime,35,Bridgewater St MA,13
Emory & Henry,10,Bridgewater VA,24
Albany NY,7,Bryant,24
Lafayette,33,Bucknell,22
Central IA,35,Buena Vista,7
Miami OH,21,Buffalo,9
Bloomsburg,36,C.W. Post,16
St Francis PA,33,Cal Poly SLO,41
Indiana PA,15,California PA,18
Marist,42,Campbell,14
John Carroll,28,Capital,20
St John's MN,31,Carleton,13
Montana-Western,3,Carroll MT,42
North Park,10,Carthage,23
Becker,6,Castleton St,53
SE Louisiana St,23,Central Arkansas,30
Wagner,20,Central Conn St,38
East Carolina,35,Central Florida,49
MidAmerica Nazarene,56,Central Methodist,28
Bowling Green,17,Central Michigan,14
TAMU-Commerce,31,Central Oklahoma,30
Occidental,24,Chapman,28
Elon,49,Chattanooga,35
Case Western Reserve,20,Chicago,24
Ferrum,21,Christopher Newport,27
Syracuse,31,Cincinnati,7
Cal Lutheran,41,Claremont-Mudd-Scripps,14
Morehouse,17,Clark Atlanta,7
Framingham St,34,Coast Guard,13
Loras,6,Coe,34
Adams St,17,Colorado Mines,24
New Mexico,14,Colorado St,38
New Mexico Highlands,0,Colorado St-Pueblo,66
Dordt,7,Concordia NE,24
Wisconsin Lutheran,13,Concordia WI,12
Simpson,21,Cornell IA,13
Princeton,19,Cornell NY,21
Montclair St,9,Cortland St,10
Union KY,18,Cumberland TN,29
Harvard,30,Dartmouth,14
Dayton,37,Davidson,13
Rose-Hulman,21,Defiance,41
South Carolina St,38,Delaware St,21
King's PA,7,Delaware Valley,51
Birmingham-Southern,23,DePauw,30
Muhlenberg,26,Dickinson,13
Nebraska Wesleyan,34,Doane,14
San Diego,17,Drake,38
Northeastern St OK,21,East Central OK,48
Cheyney,14,East Stroudsburg,58
Austin Peay,10,Eastern Illinois,28
Murray St,21,Eastern Kentucky,28
Toledo,42,Eastern Michigan,7
SE Oklahoma St,20,Eastern New Mexico,55
Chowan,14,Elizabeth City St,55
North Central,47,Elmhurst,13
Western New England,15,Endicott,23
Avila,37,Evangel,41
Seton Hill,29,Fairmont St,44
Bethel TN,40,Faulkner,38
Johnson C. Smith,6,Fayetteville St,64
Albright,41,FDU-Florham,15
Ashland,56,Findlay,7
Georgia,31,Florida,34
Morgan St,17,Florida A&M,31
Florida Int'l,9,Florida Atlantic,21
Georgetown DC,19,Fordham,24
Chadron St,38,Fort Lewis,7
McDaniel,28,Franklin & Marshall,31
Anna Maria,6,Gallaudet,33
Clarion,11,Gannon,10
Coastal Carolina,30,Gardner-Webb,27
Virginia-Wise,29,Georgetown KY,58
Samford,20,Georgia Southern,13
Susquehanna,50,Gettysburg,61
Culver-Stockton,38,Graceland,33
Iowa Wesleyan,6,Grand View,73
Maryville,40,Greensboro,6
Illinois College,29,Grinnell,42
St Thomas,43,Gustavus Adolphus,6
St Olaf,42,Hamline,10
Guilford,20,Hampden-Sydney,49
Old Dominion,28,Hampton,14
Arkansas-Monticello,26,Harding,33
McMurry,13,Hardin-Simmons,34
Idaho,10,Hawai`i,45
Ouachita Baptist,26,Henderson St,35
WPI,13,Hobart,38
Norfolk St,10,Howard,9
Trinity TX,30,Huntingdon AL,56
Mount Ida,25,Husson,23
Montana St,23,Idaho St,20
Purdue,10,Illinois,44
Millikin,14,Illinois Wesleyan,24
West Texas A&M,49,Incarnate Word,10
Northwestern,20,Indiana,17
South Dakota St,30,Indiana St,41
Ferris St,33,Indianapolis,37
Michigan St,6,Iowa,37
Kansas,16,Iowa St,28
Utica,6,Ithaca,30
Prairie View A&M,13,Jackson St,30
Massachusetts,21,James Madison,14
Valley City St,13,Jamestown,19
Juniata,0,Johns Hopkins,48
Oklahoma St,24,Kansas St,14
Ottawa,49,Kansas Wesleyan,45
Brockport St,14,Kean,34
Ball St,14,Kent St,33
Southern Virginia,45,Kentucky Christian,28
Miles,28,Kentucky Wesleyan,40
West Chester,23,Kutztown,45
Redlands,27,La Verne,7
Apprentice,14,LaGrange,21
Ohio Dominican,15,Lake Erie,30
Knox,6,Lake Forest,35
Benedictine IL,46,Lakeland,21
Central St OH,6,Lambuth,42
Fort Valley St,31,Lane,18
Lincoln MO,21,Langston,31
Beloit,23,Lawrence,29
Widener,38,Lebanon Valley,42
Colgate,14,Lehigh,44
Pacific Lutheran,35,Lewis & Clark,23
St Paul's,16,Lincoln PA,13
West Virginia Tech,7,Lindsey Wilson,9
Menlo,0,Linfield,38
St Augustine's,33,Livingstone,0
Edinboro,30,Lock Haven,22
Texas Lutheran,21,Louisiana College,38
Troy,14,Louisiana-Monroe,28
Concordia IL,49,Maranatha Baptist,21
Ohio Northern,45,Marietta,6
Catawba,38,Mars Hill,28
UTEP,12,Marshall,16
Eureka,13,Martin Luther,52
Minn St-Moorhead,17,Mary,43
Howard Payne,3,Mary Hardin-Baylor,45
Wake Forest,14,Maryland,62
Westfield St,28,Mass Maritime,14
Dakota St,14,Mayville St,21
Nicholls St,14,McNeese St,24
Tabor,14,McPherson,40
Houston,56,Memphis,17
Slippery Rock,13,Mercyhurst,21
American Int'l,59,Merrimack,19
Western St CO,28,Mesa St,33
Grand Valley St,17,Michigan Tech,20
Tarleton St,26,Midwestern St,31
Sewanee,0,Millsaps,30
Ohio State,52,Minnesota,10
Concordia-St Paul,41,Minnesota-Crookston,7
St Cloud St,17,Minnesota-Duluth,40
Dickinson St,45,Minot St,13
Auburn,51,Mississippi,31
Sul Ross St,21,Mississippi College,38
Kentucky,17,Mississippi St,24
Urbana,42,Missouri S&T,25
Central Missouri,34,Missouri Southern,21
Southern Illinois,41,Missouri St,51
Emporia St,14,Missouri Western,42
Carroll WI,13,Monmouth IL,16
Sacred Heart,26,Monmouth NJ,25
Eastern Oregon,39,Montana St-Northern,36
Ursinus,17,Moravian,24
Jacksonville FL,61,Morehead St,17
Hastings,7,Morningside,43
Manchester,13,Mt St Joseph,24
Baldwin-Wallace,27,Muskingum,16
Duke,34,Navy,31
Missouri,17,Nebraska,31
Utah St,42,Nevada,56
San Jose St,27,New Mexico St,29
Carson-Newman,35,Newberry,13
MIT,14,Nichols,17
William & Mary,17,North Carolina,21
Edward Waters,7,North Carolina Central,20
Methodist,6,North Carolina Wesleyan,56
Lamar,6,North Dakota,31
Sacramento St,40,Northern Arizona,10
Dakota Wesleyan,10,Northwestern IA,16
Westminster MO,27,Northwestern MN,9
Sam Houston St,20,Northwestern St,23
Hillsdale,35,Northwood,28
Tulsa,28,Notre Dame,27
North Greenville,21,Notre Dame OH,14
Fort Hays St,27,NW Missouri St,45
Denison,10,Oberlin,20
Louisiana-Lafayette,31,Ohio U.,38
Kenyon,14,Ohio Wesleyan,30
Colorado,10,Oklahoma,43
St Francis IN,63,Olivet Nazarene,7
California,7,Oregon St,35
Mount Union,28,Otterbein,10
New Haven,58,Pace,19
Michigan,31,Penn State,41
Brown,7,Pennsylvania,24
Nebraska-Omaha,48,Pittsburg St,27
Louisville,3,Pittsburgh,20
Whittier,37,Pomona-Pitzer,17
Eastern Washington,50,Portland St,17
Liberty,34,Presbyterian,24
Pacific OR,31,Puget Sound,42
McKendree,50,Quincy,21
Centre,31,Rhodes,38
St Norbert,37,Ripon,13
Duquesne,11,Robert Morris,34
Aurora,36,Rockford,7
Montana Tech,38,Rocky Mountain,48
Morrisville St,21,Rowan,34
Union NY,7,RPI,21
Wayne St MI,41,Saginaw Valley St,27
Wesley,17,Salisbury,14
Plymouth St,14,Salve Regina,30
Tennessee-Martin,17,SE Missouri St,24
Winston-Salem St,27,Shaw,31
Averett,14,Shenandoah,24
Millersville,14,Shippensburg,19
Webber Int'l,14,Shorter,42
Humboldt St,35,Simon Fraser,14
Georgia St,34,South Alabama,39
Tennessee,24,South Carolina,38
Northern Colorado,6,South Dakota,34
Black Hills St,20,South Dakota Tech,23
West Alabama,27,Southern Arkansas,30
Oregon,53,Southern Cal,32
Alabama-Birmingham,50,Southern Miss,49
OK Panhandle St,34,Southern Nazarene,31
Azusa Pacific,38,Southern Oregon,13
Hartwick,20,Springfield,39
Stonehill,41,St Anselm,27
Waldorf,10,St Francis IL,56
Frostburg St,6,St John Fisher,38
Friends,35,St Mary KS,38
MacMurray,18,St Scholastica,48
Waynesburg,34,St Vincent,28
Walsh,10,St Xavier,41
Texas St-San Marcos,27,Stephen F. Austin,24
Bethany KS,7,Sterling,26
Charleston Southern,21,Stony Brook,41
Norwich,2,SUNY-Maritime,20
NW Oklahoma St,44,SW Assem of God,7
St Joseph's IN,43,SW Baptist,51
Winona St,44,SW Minnesota St,19
TAMU-Kingsville,56,SW Oklahoma St,17
Marian IN,20,Taylor,6
Akron,0,Temple,30
Baylor,30,Texas,22
Texas Tech,27,Texas A&M,45
Mississippi Valley St,7,Texas Southern,38
Geneva,34,Thiel,20
Westminster PA,13,Thomas More,37
Northern Michigan,43,Tiffin,14
Rhode Island,30,Towson,20
Olivet,14,Trine,51
Malone,34,Trinity Int'l,0
Washburn,45,Truman St,12
SMU,31,Tulane,17
Brevard,35,Tusculum,51
Kentucky St,21,Tuskegee,45
Southern Utah,55,UC-Davis,24
Arizona,29,UCLA,21
Curry,28,UMass-Dartmouth,10
Concord,30,UNC-Pembroke,26
TCU,48,UNLV,6
Wayne St NE,20,Upper Iowa,21
UW-Oshkosh,14,UW-Eau Claire,20
UW-River Falls,17,UW-Platteville,38
UW-La Crosse,29,UW-Stout,28
UW-Stevens Point,14,UW-Whitewater,27
Butler,48,Valparaiso,0
Richmond,7,Villanova,28
Miami FL,19,Virginia,24
Virginia St,35,Virginia Union,7
Allegheny,3,Wabash,20
Luther,18,Wartburg,24
Grove City,14,Wash & Jeff,21
Stanford,41,Washington,0
Carnegie Mellon,13,Washington U.,20
Montana,21,Weber St,30
Charleston WV,23,West Liberty St,37
Shepherd,56,West Virginia St,19
New Jersey,22,Western Conn St,16
Illinois St,38,Western Illinois,65
North Texas,33,Western Kentucky,6
Northern Illinois,28,Western Michigan,21
Nebraska-Kearney,56,Western New Mexico,31
Dixie St,7,Western Oregon,42
Willamette,28,Whitworth,12
Lycoming,14,Wilkes,31
Baker,12,William Jewell,9
Buffalo St,34,William Paterson,20
Peru St,6,William Penn,70
Heidelberg,36,Wilmington,3
Lenoir-Rhyne,24,Wingate,27
The Citadel,0,Wofford,35
Hiram,0,Wooster,62
Fitchburg St,6,Worcester St,41
Glenville St,24,WV Wesleyan,31
San Diego St,48,Wyoming,38
Columbia,28,Yale,31
Northern Iowa,34,Youngstown St,30
Middle Tennessee St,24,Arkansas St,51
Rutgers,27,South Florida,28
Trinity Bible,13,Minnesota-Morris,59
Buffalo,17,Ohio U.,34
Georgia Tech,21,Virginia Tech,28
Western Michigan,22,Central Michigan,26
Central Florida,40,Houston,33
Mesa St,34,Adams St,41
Hope,7,Adrian,33
Alcorn St,41,Alabama A&M,24
Jackson St,30,Alabama St,32
Marshall,31,Alabama-Birmingham,17
Delaware Valley,42,Albright,17
Ithaca,17,Alfred,31
Pace,31,American Int'l,69
Mississippi Valley St,20,Arkansas-Pine Bluff,49
Air Force,42,Army,22
Chattanooga,24,Auburn,62
Gustavus Adolphus,14,Augsburg,17
Wisconsin Lutheran,21,Aurora,24
Tennessee-Martin,28,Austin Peay,12
Ferrum,34,Averett,13
Central Methodist,38,Avila,17
Southern Nazarene,41,Bacone,19
Evangel,6,Baker,41
Mount Union,41,Baldwin-Wallace,13
Akron,30,Ball St,37
Husson,23,Becker,27
Illinois College,27,Beloit,42
Rockford,0,Benedictine IL,38
Ottawa,39,Bethany KS,33
Kentucky Christian,20,Bethel TN,70
Kutztown,35,Bloomsburg,61
Hawai`i,7,Boise St,42
Newberry,31,Brevard,3
UNLV,7,Brigham Young,55
Yale,27,Brown,24
Fordham,33,Bucknell,21
Morrisville St,21,Buffalo St,45
Jacksonville FL,24,Butler,16
Chapman,6,Cal Lutheran,27
Valparaiso,14,Campbell,56
Chicago,61,Carnegie Mellon,22
Grinnell,7,Carroll WI,40
Lenoir-Rhyne,52,Carson-Newman,14
Washington U.,14,Case Western Reserve,13
Tusculum,54,Catawba,44
Wartburg,20,Central IA,17
NW Missouri St,17,Central Missouri,16
Simon Fraser,7,Central Washington,34
Trinity TX,7,Centre,26
Colorado Mines,31,Chadron St,38
C.W. Post,63,Cheyney,28
Bowie St,59,Chowan,19
Benedict,20,Clark Atlanta,17
North Carolina St,13,Clemson,14
Maine Maritime,63,Coast Guard,47
Buena Vista,14,Coe,44
Lafayette,14,Colgate,24
Fairmont St,17,Concord,41
Concordia IL,49,Concordia WI,20
Upper Iowa,7,Concordia-St Paul,56
Dartmouth,28,Cornell NY,10
William Paterson,7,Cortland St,38
William Jewell,21,Culver-Stockton,13
Belhaven,7,Cumberland TN,45
Faulkner,7,Cumberlands KY,79
Briar Cliff,14,Dakota Wesleyan,49
Drake,25,Dayton,31
Towson,0,Delaware,48
North Carolina Central,7,Delaware St,29
Austin,20,DePauw,30
Sioux Falls,49,Dordt,0
Virginia,48,Duke,55
Navy,76,East Carolina,35
Shippensburg,20,East Stroudsburg,17
Jacksonville St,37,Eastern Kentucky,49
Montana-Western,27,Eastern Oregon,20
California PA,24,Edinboro,0
Augustana IL,21,Elmhurst,35
MIT,7,Endicott,38
Virginia Union,27,Fayetteville St,44
Michigan Tech,28,Ferris St,16
Louisiana-Monroe,35,Florida Int'l,42
North Carolina,37,Florida St,35
Missouri Southern,41,Fort Hays St,31
Albany St GA,12,Fort Valley St,7
Worcester St,21,Framingham St,42
Earlham,0,Franklin,60
Johns Hopkins,24,Franklin & Marshall,9
Kansas Wesleyan,36,Friends,33
Apprentice,21,Frostburg St,25
Western Carolina,17,Furman,31
SUNY-Maritime,21,Gallaudet,14
Idaho St,7,Georgia,55
Appalachian St,14,Georgia Southern,21
Lamar,17,Georgia St,23
Charleston WV,44,Glenville St,16
Concordia AL,0,Grambling St,35
Northwood,21,Grand Valley St,35
Eureka,27,Greenville,62
Bethany WV,7,Grove City,21
Catholic,23,Guilford,22
Bethel MN,52,Hamline,0
Bethune-Cookman,23,Hampton,18
Mt St Joseph,15,Hanover,25
Arkansas Tech,7,Harding,42
Utica,21,Hartwick,24
Columbia,7,Harvard,23
Doane,21,Hastings,43
John Carroll,35,Heidelberg,37
Findlay,3,Hillsdale,31
Allegheny,43,Hiram,21
Lehigh,34,Holy Cross,17
East Texas Baptist,24,Howard Payne,0
Western Oregon,26,Humboldt St,24
Nevada,63,Idaho,17
Youngstown St,39,Illinois St,41
Carthage,42,Illinois Wesleyan,49
Iowa,18,Indiana,13
Lock Haven,31,Indiana PA,63
Northern Iowa,30,Indiana St,20
Nebraska,31,Iowa St,30
Livingstone,13,Johnson C. Smith,26
Dickinson,41,Juniata,14
Trine,59,Kalamazoo,17
Colorado,45,Kansas,52
Texas,14,Kansas St,39
Temple,28,Kent St,10
Charleston Southern,21,Kentucky,49
Notre Dame OH,14,Kentucky Wesleyan,28
FDU-Florham,14,King's PA,45
Monmouth IL,42,Knox,6
Pomona-Pitzer,28,La Verne,26
Huntingdon AL,35,LaGrange,28
Tiffin,27,Lake Erie,31
Edward Waters,27,Lambuth,44
Ripon,63,Lawrence,7
Gardner-Webb,14,Liberty,40
Azusa Pacific,59,Lincoln MO,14
Elizabeth City St,36,Lincoln PA,6
Graceland,33,Lindenwood,77
Georgetown KY,48,Lindsey Wilson,0
Whitworth,17,Linfield,42
Cornell IA,12,Loras,37
Fresno St,40,Louisiana Tech,34
Alabama,21,LSU,24
Dubuque,23,Luther,30
Lebanon Valley,28,Lycoming,14
Westminster MO,39,MacMurray,7
Marian IN,28,Malone,7
Defiance,10,Manchester,7
Lakeland,42,Maranatha Baptist,0
Otterbein,21,Marietta,14
Davidson,28,Marist,21
Macalester,28,Martin Luther,21
Christopher Newport,42,Maryville,10
Bridgewater St MA,7,Mass Maritime,23
Maine,24,Massachusetts,39
Gettysburg,30,McDaniel,36
Louisiana College,35,McMurry,32
Bethel KS,0,McPherson,47
Tennessee,50,Memphis,14
Southern Oregon,24,Menlo,13
Clarion,14,Mercyhurst,38
Southern Conn St,49,Merrimack,32
Greensboro,22,Methodist,19
Maryland,20,Miami FL,26
Illinois,65,Michigan,67
Minnesota,8,Michigan St,31
Missouri Valley,7,MidAmerica Nazarene,37
Morehouse,13,Miles,3
SW Minnesota St,7,Minn St-Mankato,53
Minnesota-Duluth,55,Minnesota-Crookston,7
Louisiana-Lafayette,21,Mississippi,43
Weber St,10,Montana St,24
Carroll MT,46,Montana Tech,10
Brockport St,22,Montclair St,27
Anna Maria,18,Mount Ida,69
Ursinus,20,Muhlenberg,27
Tennessee Tech,13,Murray St,44
Capital,27,Muskingum,24
Midland,14,Nebraska Wesleyan,6
Fort Lewis,21,Nebraska-Kearney,48
Missouri Western,16,Nebraska-Omaha,14
William & Mary,13,New Hampshire,3
St Anselm,35,New Haven,26
Kean,0,New Jersey,7
Wyoming,31,New Mexico,34
Western New Mexico,38,New Mexico Highlands,13
Stephen F. Austin,48,Nicholls St,13
Morgan St,25,Norfolk St,37
West Alabama,23,North Alabama,24
Florida A&M,22,North Carolina A&T,19
UC-Davis,35,North Dakota,16
Southern Illinois,6,North Dakota St,20
Millikin,16,North Park,7
Troy,41,North Texas,35
Eastern New Mexico,40,Northeastern St OK,43
Northern Arizona,21,Northern Colorado,14
Saginaw Valley St,24,Northern Michigan,17
Minn St-Moorhead,7,Northern St SD,16
Concordia NE,6,Northwestern IA,26
Castleton St,41,Norwich,50
OK Panhandle St,7,NW Oklahoma St,31
Ohio Wesleyan,12,Oberlin,16
Claremont-Mudd-Scripps,33,Occidental,17
Ashland,44,Ohio Dominican,15
Wilmington,6,Ohio Northern,44
Baylor,28,Oklahoma St,55
Savannah St,9,Old Dominion,57
Alma,35,Olivet,21
Washington,16,Oregon,53
Delta St,33,Ouachita Baptist,27
Pacific Lutheran,50,Pacific OR,23
Northwestern,21,Penn State,35
Benedictine KS,28,Peru St,0
West Virginia Tech,36,Pikeville,40
Truman St,14,Pittsburg St,17
Curry,24,Plymouth St,21
Stony Brook,37,Presbyterian,7
Pennsylvania,52,Princeton,10
