Rank     Team                            W-L-T    Rating
424        Central IA                      4-0-0    19.204
425        Indiana                         1-4-0    19.2033
426        Central Florida                 1-3-0    19.2014
427        Richmond                        4-2-0    19.183
428        Eastern Kentucky                0-1-0    19.1717
429        Sacramento St                   4-2-0    19.1709
430        Northern Michigan               2-3-0    19.0966
431        Cal Poly SLO                    2-4-0    19.0725
432        Shepherd                        4-1-0    19.0428
433        Stony Brook                     3-2-0    18.9521
434        Dartmouth                       3-1-0    18.9384
435        Southern Illinois               2-3-0    18.9008
436        Middle Tennessee St             1-4-0    18.8262
437        Johns Hopkins                   5-0-0    18.7746
438        Rocky Mountain                  4-2-0    18.6011
439        Yale                            3-0-0    18.5873
440        Sam Houston St                  3-2-0    18.5464
441        St Francis IL                   4-2-0    18.5254
442        Widener                         6-0-0    18.3134
443        Wesley                          4-0-0    18.2253
444        Wartburg                        5-0-0    18.1937
445        Colorado Mines                  5-1-0    18.1792
446        UC-Davis                        1-4-0    18.0954
447        West Alabama                    3-2-0    17.8871
448        Akron                           0-1-0    17.811
449        Northwood                       3-1-0    17.7413
450        Connecticut                     2-3-0    17.6344
451        Colorado Mines                  5-0-0    17.6221
452        South Dakota                    2-3-0    17.572
453        Northwestern                    0-1-0    17.5558
454        The Citadel                     3-3-0    17.528
455        Brown                           2-2-0    17.5129
456        Delta St                        5-0-0    17.4198
457        Kansas                          0-3-0    17.3047
458        Furman                          2-2-0    17.2971
459        Georgetown KY                   5-0-0    17.2869
460        Louisiana-Monroe                0-4-0    17.2444
461        Mercyhurst                      4-1-0    17.2243
462        Notre Dame OH                   4-2-0    17.1893
463        Charleston Southern             5-0-0    17.1053
464        Utah St                         0-1-0    17.0362
465        Grand Valley St                 3-3-0    16.9967
466        Princeton                       3-0-0    16.9702
467        Florida Int'l                   0-1-0    16.9046
468        Western Illinois                0-2-0    16.7701
469        Eastern New Mexico              4-2-0    16.7623
470        Akron                           1-3-0    16.7407
471        Elon                            0-2-0    16.7151
472        Abilene Christian               3-3-0    16.4635
473        UNLV                            2-3-0    16.3446
474        Montana                         2-4-0    16.3356
475        Tulsa                           0-1-0    16.3206
476        Stony Brook                     2-2-0    16.2727
477        Indianapolis                    5-1-0    16.2632
478        Hillsdale                       3-1-0    16.1782
479        Grambling St                    2-1-0    15.9717
480        Albany NY                       3-3-0    15.7342
481        Monmouth NJ                     2-4-0    15.7266
482        Gardner-Webb                    3-1-0    15.716
483        Bethel MN                       4-1-0    15.67
484        Connecticut                     0-3-0    15.6435
485        Hillsdale                       0-1-0    15.5742
486        Northwestern St                 0-1-0    15.5039
487        Tennessee Tech                  4-2-0    15.4663
488        Michigan                        0-1-0    15.4643
489        Western Carolina                2-3-0    15.4389
490        Winston-Salem St                5-1-0    15.4195
491        TAMU-Commerce                   2-2-0    15.4043
492        Miami OH                        0-6-0    15.3957
493        New Mexico                      0-5-0    15.3402
494        Grand View                      4-1-0    15.3395
495        Montana-Western                 2-2-0    15.3108
496        Northwestern IA                 1-0-0    15.0
497        Texas Lutheran                  5-0-0    14.9312
498        St Francis PA                   3-1-0    14.8607
499        Glenville St                    4-1-0    14.8261
500        Sacramento St                   2-3-0    14.8115
501        San Diego                       6-0-0    14.7824
502        Angelo St                       4-2-0    14.6167
503        Lafayette                       3-1-0    14.6044
504        Middle Tennessee St             0-1-0    14.6042
505        SMU                             0-2-0    14.6039
506        Chadron St                      4-2-0    14.508
507        Abilene Christian               3-3-0    14.4998
508        Stony Brook                     0-1-0    14.494
509        Wake Forest                     0-4-0    14.4854
510        Mississippi Valley St           0-1-0    14.482
511        South Carolina St               3-1-0    14.2683
512        Faulkner                        6-0-0    14.2431
513        Bloomsburg                      5-1-0    14.2285
514        Dubuque                         3-1-0    14.2271
515        Catawba                         3-1-0    14.2041
516        California                      0-1-0    14.1805
517        Chapman                         5-0-0    14.1776
518        William Penn                    3-2-0    14.1718
519        Marian IN                       4-1-0    14.1707
520        St John Fisher                  5-0-0    14.1517
521        Colgate                         4-1-0    14.0892
522        Alcorn St                       3-2-0    14.0126
523        Presbyterian                    1-0-0    14.0
524        Western Oregon                  4-0-0    13.8516
525        Kent St                         0-2-0    13.6825
526        Virginia St                     4-1-0    13.6773
527        Portland St                     2-2-0    13.6389
528        Widener                         4-0-0    13.625
529        Holy Cross                      3-2-0    13.6074
530        Lamar                           0-1-0    13.5321
531        Buffalo St                      4-1-0    13.4373
532        North Central                   5-0-0    13.3104
533        South Alabama                   0-2-0    13.2114
534        Liberty                         3-2-0    13.0799
535        Winston-Salem St                4-1-0    13.0313
536        Ohio Dominican                  1-0-0    13.0
537        Mercer                          2-2-0    12.9264
538        UW-Whitewater                   6-0-0    12.9183
539        Harding                         5-0-0    12.8806
540        Muhlenberg                      4-1-0    12.8717
541        Morningside                     3-1-0    12.8587
542        Southern Utah                   2-2-0    12.797
543        North Carolina Central          0-1-0    12.7831
544        Virginia St                     5-0-0    12.7547
545        North Carolina Central          4-1-0    12.7281
546        Central Arkansas                1-4-0    12.724
547        Albany NY                       3-2-0    12.5775
548        UNC-Charlotte                   2-3-0    12.5488
549        UW-Oshkosh                      3-0-0    12.3942
550        Tarleton St                     1-3-0    12.3658
551        Bethune-Cookman                 0-1-0    12.3206
552        Kent St                         0-3-0    12.311
553        Tuskegee                        3-1-0    12.1359
554        Salisbury                       3-1-0    12.1026
555        Lake Erie                       2-4-0    12.0591
556        St Xavier                       3-2-0    12.0431
557        Augustana IL                    1-0-0    12.0
558        St Thomas                       5-1-0    11.9854
559        John Carroll                    3-1-0    11.9679
560        Gannon                          5-1-0    11.9164
561        Delaware                        4-1-0    11.9039
562        Coll of Idaho                   3-2-0    11.8935
563        Eastern Michigan                0-2-0    11.8003
564        Rocky Mountain                  1-3-0    11.7468
565        Dayton                          4-1-0    11.7165
566        Indianapolis                    4-1-0    11.6012
567        Florida Tech                    4-2-0    11.5929
568        Wake Forest                     0-1-0    11.5437
569        SE Missouri St                  4-1-0    11.5287
570        Kent St                         1-4-0    11.5024
571        UW-Platteville                  3-1-0    11.4698
572        Redlands                        3-1-0    11.4644
573        LIU Post                        4-2-0    11.4221
574        Montana Tech                    1-4-0    11.4041
575        Reinhardt                       5-1-0    11.2819
576        Northwood                       0-2-0    11.1661
577        Valdosta St                     4-1-0    11.1296
578        Slippery Rock                   5-1-0    11.0978
579        Albany St GA                    3-0-0    11.0523
580        McKendree                       2-3-0    11.02
581        Clemson                         0-1-0    10.9586
582        Kentucky                        0-1-0    10.9565
583        Sam Houston St                  0-1-0    10.9565
584        New Mexico St                   0-1-0    10.9565
585        Louisiana-Monroe                0-1-0    10.9565
586        West Chester                    5-1-0    10.9545
587        Hawai`i                         1-4-0    10.8328
588        North Dakota St                 0-1-0    10.7551
589        Tiffin                          0-1-0    10.7381
590        Appalachian St                  3-2-0    10.6681
591        UW-Platteville                  4-0-0    10.6632
592        Henderson St                    6-0-0    10.6606
593        Maine                           3-2-0    10.598
594        Tulsa                           0-4-0    10.5656
595        Troy                            1-4-0    10.4749
596        McNeese St                      0-1-0    10.4009
597        St John's MN                    5-0-0    10.2973
598        Henderson St                    3-2-0    10.2748
599        Ithaca                          4-1-0    10.2409
600        Northwood                       2-3-0    10.1979
601        St Joseph's IN                  3-1-0    10.1752
602        West Liberty                    4-1-0    10.1519
603        American Int'l                  5-0-0    10.0562
604        North Carolina Central          2-3-0    10.0064
605        Mount Ida                       1-0-0    10.0
606        Montclair St                    1-0-0    10.0
607        Idaho                           0-5-0    9.9913
608        North Dakota                    4-2-0    9.7832
609        Texas Southern                  4-2-0    9.6344
610        Murray St                       3-2-0    9.5499
611        San Diego St                    0-1-0    9.4143
612        Tennessee-Martin                3-2-0    9.3609
613        UW-Oshkosh                      3-2-0    9.2763
614        Towson                          2-3-0    9.2647
615        New Haven                       2-3-0    9.2456
616        Findlay                         3-3-0    9.2209
617        Tiffin                          2-2-0    9.2054
