Rank     Team                            W-L-T    Rating
386        SE Louisiana St                 2-1-0    19.9615
387        Furman                          0-1-0    19.9201
388        Colorado                        1-3-0    19.9188
389        Malone                          0-1-0    19.9146
390        Shippensburg                    4-2-0    19.8204
391        Furman                          2-3-0    19.7534
392        Sacramento St                   3-2-0    19.592
393        Duke                            1-3-0    19.5103
394        Missouri St                     0-3-0    19.3654
395        Central Michigan                0-1-0    19.2707
396        Indiana                         2-4-0    19.2692
397        Butler                          5-0-0    19.1491
398        Virginia Tech                   1-4-0    19.0898
399        St Cloud St                     5-1-0    18.9826
400        Wayne St NE                     2-3-0    18.9245
401        Florida Int'l                   2-4-0    18.8183
402        Southern Illinois               3-3-0    18.742
403        Tuskegee                        5-0-0    18.6164
404        Western Oregon                  3-2-0    18.6125
405        Colorado                        0-1-0    18.5118
406        East Central OK                 5-0-0    18.455
407        Morningside                     4-1-0    18.355
408        Fort Hays St                    0-1-0    18.3418
409        Texas St-San Marcos             1-4-0    18.2916
410        Western Oregon                  3-2-0    18.2818
411        Connecticut                     0-1-0    18.2777
412        Jacksonville FL                 4-1-0    18.2287
413        Findlay                         4-1-0    18.2007
414        Lehigh                          5-1-0    18.0381
415        Southern Utah                   2-3-0    18.0108
416        Montana                         0-1-0    17.9859
417        North Carolina A&T              6-1-0    17.9544
418        Florida Atlantic                1-3-0    17.9533
419        Northwestern St                 4-1-0    17.9449
420        Kentucky                        0-1-0    17.9133
421        Wyoming                         1-5-0    17.8576
422        New Mexico St                   1-4-0    17.8453
423        Bemidji St                      5-1-0    17.7915
424        California PA                   4-2-0    17.6822
425        Eastern Washington              4-2-0    17.6254
426        MidAmerica Nazarene             3-0-0    17.5642
427        Northern Arizona                0-1-0    17.5623
428        Slippery Rock                   4-2-0    17.4892
429        St Thomas                       9-0-0    17.4878
430        UC-Davis                        3-2-0    17.3776
431        Sioux Falls                     0-1-0    17.3611
432        Brockport St                    5-0-0    17.3211
433        Wake Forest                     0-3-0    17.2751
434        Indiana PA                      5-2-0    17.2213
435        New Mexico St                   0-1-0    17.1835
436        New Hampshire                   4-1-0    17.0451
437        Augustana SD                    2-3-0    17.0203
438        Glenville St                    4-0-0    16.9517
439        Villanova                       3-2-0    16.9163
440        North Carolina Central          4-1-0    16.7842
441        Emporia St                      5-1-0    16.7811
442        South Alabama                   1-4-0    16.6563
443        Eastern Michigan                1-4-0    16.581
444        Ohio Dominican                  5-1-0    16.576
445        Northern St SD                  4-1-0    16.5677
446        Mary Hardin-Baylor              6-1-0    16.4942
447        Samford                         3-2-0    16.4346
448        Illinois                        0-4-0    16.4265
449        Jacksonville St                 1-4-0    16.3639
450        Widener                         7-0-0    16.3012
451        Tennessee St                    2-3-0    16.2885
452        Dartmouth                       5-0-0    16.26
453        Wayne St MI                     3-2-0    16.2421
454        Washington St                   0-4-0    16.2239
455        Illinois                        0-1-0    16.1992
456        Midwestern St                   5-2-0    16.1942
457        Montana                         2-3-0    16.0967
458        Harding                         3-1-0    16.0583
459        Lehigh                          5-0-0    15.9556
460        Iowa                            0-2-0    15.9261
461        Wayne St MI                     0-2-0    15.7369
462        Akron                           0-6-0    15.6763
463        McNeese St                      3-3-0    15.6689
464        Connecticut                     0-2-0    15.6509
465        Lenoir-Rhyne                    6-0-0    15.5588
466        Tennessee Tech                  3-3-0    15.4822
467        Angelo St                       4-1-0    15.4307
468        Marian IN                       5-0-0    15.4227
469        Elizabeth City St               3-0-0    15.2553
470        Ohio U.                         0-1-0    15.0602
471        Iowa St                         1-1-0    15.0461
472        Tiffin                          3-2-0    15.0221
473        Liberty                         4-2-0    14.8533
474        Buffalo                         0-2-0    14.5825
