Rank     Team                            W-L-T    Schedule Factor
399        Redlands                        0-1-0    23.0584
400        Urbana                          0-1-0    23.0395
401        Montana                         2-4-0    23.0023
402        Army                            0-4-0    22.9909
403        Connecticut                     0-1-0    22.9814
404        Texas-San Antonio               0-1-0    22.9737
405        Florida Int'l                   3-4-0    22.9599
406        Luther                          0-1-0    22.9579
407        Nicholls St                     0-4-0    22.956
408        Ohio U.                         4-1-0    22.9475
409        Howard                          0-1-0    22.8762
410        Sacramento St                   2-3-0    22.8115
411        East Carolina                   4-0-0    22.787
412        Saginaw Valley St               0-4-0    22.7403
413        Cornell                         0-1-0    22.6923
414        Houston Baptist                 0-3-0    22.6721
415        South Alabama                   0-1-0    22.6592
416        Southern U.                     0-1-0    22.6592
417        Villanova                       3-1-0    22.5007
418        William & Mary                  4-1-0    22.4363
419        Lafayette                       1-5-0    22.3775
420        Houston Baptist                 0-1-0    22.3003
421        Central Michigan                3-1-0    22.2939
422        Richmond                        3-2-0    22.2594
423        Army                            3-1-0    22.2524
424        Charleston Southern             3-2-0    22.2507
425        Troy                            2-3-0    22.2311
426        Sam Houston St                  4-1-0    22.0851
427        Lebanon Valley                  0-1-0    22.0673
428        FDU-Florham                     0-1-0    22.0673
429        Rowan                           0-1-0    22.0673
430        Georgia Southern                4-3-0    22.0415
431        Georgetown DC                   0-2-0    22.03
432        Western Michigan                4-2-0    21.9972
433        Columbia                        0-4-0    21.8875
434        Utah St                         5-0-0    21.8773
435        Pennsylvania                    0-5-0    21.8585
436        The Citadel                     1-4-0    21.7174
437        Montana St                      2-2-0    21.6421
438        Mississippi College             0-1-0    21.641
439        Akron                           3-2-0    21.6301
440        Alabama-Birmingham              3-2-0    21.5747
441        South Dakota                    2-3-0    21.572
442        Idaho                           1-4-0    21.5536
443        Georgetown DC                   0-2-0    21.5478
444        North Dakota St                 5-0-0    21.517
445        Lehigh                          1-4-0    21.4985
446        Houston                         2-1-0    21.4677
447        Old Dominion                    3-2-0    21.4582
448        Weber St                        1-5-0    21.4131
449        Rutgers                         4-1-0    21.3603
450        Langston                        0-1-0    21.1483
451        Wilmington                      0-1-0    21.076
452        Monmouth NJ                     2-4-0    21.06
453        Missouri St                     2-2-0    21.0328
454        Murray St                       0-6-0    20.9401
455        Shorter                         0-2-0    20.9325
456        Elon                            1-4-0    20.8948
457        Saginaw Valley St               0-1-0    20.7506
458        Georgia St                      1-4-0    20.7252
459        Coll of Idaho                   0-1-0    20.7172
460        West Georgia                    0-1-0    20.7168
461        Coll of Idaho                   1-4-0    20.5118
462        Kent St                         1-4-0    20.5024
463        Cornell                         0-2-0    20.4819
464        Portland St                     1-6-0    20.4791
465        North Dakota                    0-3-0    20.3908
466        Marshall                        5-0-0    20.2832
